"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"15:00","yes",1,10,"-KC 25","run","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"14:29","yes",2,1,"-KC 34","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"13:54","yes",1,10,"-KC 38","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"13:50","yes",2,10,"-KC 38","run","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"13:17","yes",3,5,"-KC 43","pass","KC"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"13:05","no",1,10,"-LA 4","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"12:22","yes",2,8,"-LA 6","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"11:39","yes",3,6,"-LA 8","pass","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"10:41","yes",2,20,"-LA 47","run","LAR"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"10:00","no",1,10,"-KC 10","run","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"9:30","yes",2,7,"-KC 13","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"8:54","yes",1,10,"-KC 31","run","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"8:18","yes",2,4,"-KC 37","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"7:37","no",1,10,"-KC 46","run","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"7:00","yes",1,10,"-LA 44","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"6:20","yes",1,10,"-LA 33","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"6:00","yes",1,16,"-LA 39","pass","KC"
"rams_at_chiefs_2022_reg_12","Kansas City Chiefs",1,"5:51","yes",2,16,"-LA 39","pass","KC"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"5:40","no",1,10,"-LA 25","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"4:58","yes",1,10,"-LA 40","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"4:14","yes",2,6,"-LA 44","pass","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"3:32","yes",3,5,"-LA 45","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"2:52","yes",1,10,"-KC 42","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"2:07","no",2,8,"-KC 40","pass","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,"1:21","yes",1,10,"-KC 25","run","LAR"
"rams_at_chiefs_2022_reg_12","Los Angeles Rams",1,":35","yes",2,11,"-KC 26","pass","LAR"
