"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"14:56","no",1,10,"-LA 20","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"14:14","no",1,10,"-LA 35","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"13:18","no",2,17,"-LA 28","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"12:56","yes",3,15,"-LA 30","pass","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"12:16","no",1,10,"-LA 47","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"11:42","no",2,9,"-LA 48","pass","LAR"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"10:39","yes",1,10,"-GB 32","pass","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"10:31","yes",2,10,"-GB 32","run","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"9:56","yes",3,5,"-GB 37","pass","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"9:18","yes",1,10,"-GB 48","run","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"8:44","no",2,1,"-LA 43","run","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"8:03","yes",1,10,"-LA 36","pass","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"7:23","yes",2,3,"-LA 29","pass","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"6:43","no",1,10,"-LA 18","run","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"5:56","no",1,8,"-LA 8","run","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"5:16","no",2,5,"-LA 5","pass","GB"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"3:40","yes",2,11,"-LA 25","pass","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,"2:47","yes",3,11,"-LA 25","pass","LAR"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"2:36","no",1,10,"-GB 44","run","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,"1:19","yes",3,2,"-LA 48","pass","GB"
"rams_at_packers_2022_reg_15","Green Bay Packers",1,":39","no",1,10,"-LA 44","pass","GB"
"rams_at_packers_2022_reg_15","Los Angeles Rams",1,":28","no",1,10,"-LA 32","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",2,"15:00","no",2,5,"-LA 37","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",2,"14:14","no",1,10,"-LA 44","pass","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",2,"13:27","no",1,10,"-GB 46","pass","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",2,"12:43","no",2,3,"-GB 39","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",2,"12:16","no",1,10,"-GB 18","run","LAR"
"rams_at_packers_2022_reg_15","Los Angeles Rams",2,"11:32","no",2,14,"-GB 22","pass","LAR"
