"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"15:00","no",1,10,"-LA 25","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"14:23","no",2,6,"-LA 29","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"13:43","no",3,1,"-LA 34","run","LAR"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"12:49","yes",1,10,"-NO 23","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"12:46","yes",2,10,"-NO 23","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"12:07","yes",3,3,"-NO 30","pass","NO"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"11:01","yes",1,10,"-LA 15","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"10:21","yes",2,5,"-LA 20","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"9:44","no",1,10,"-LA 26","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"9:07","yes",2,6,"-LA 30","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"9:02","yes",3,6,"-LA 30","pass","LAR"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"8:50","no",1,10,"-NO 41","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"8:19","yes",2,3,"-NO 48","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"7:03","yes",1,10,"-LA 24","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"6:25","yes",2,2,"-LA 16","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"5:46","yes",1,10,"-LA 13","pass","NO"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"4:08","no",1,10,"-LA 38","pass","LAR"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"4:00","no",1,10,"-NO 25","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"3:23","no",2,9,"-NO 26","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"2:46","yes",1,10,"-NO 38","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"2:42","yes",2,10,"-NO 38","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",1,"1:59","yes",3,9,"-NO 39","pass","NO"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,"1:09","no",1,10,"-LA 3","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,":27","yes",2,8,"-LA 5","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",1,":24","yes",3,8,"-LA 5","pass","LAR"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"15:00","yes",1,10,"-LA 38","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"14:19","yes",1,10,"-LA 26","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"14:14","yes",2,10,"-LA 26","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"13:36","no",1,10,"-LA 11","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"12:59","yes",2,8,"-LA 9","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"12:16","yes",3,7,"-LA 8","pass","NO"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"12:11","no",1,10,"-LA 25","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"11:32","no",2,3,"-LA 32","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"10:42","yes",3,1,"-LA 34","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"10:03","no",1,10,"-LA 36","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"9:19","yes",2,10,"-LA 36","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"8:35","yes",3,5,"-LA 41","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"7:44","no",4,1,"-LA 45","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"6:57","no",1,10,"-NO 42","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"6:18","no",2,6,"-NO 38","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"6:12","yes",3,6,"-NO 38","pass","LAR"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"4:44","yes",2,5,"-NO 41","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",2,"4:03","yes",3,6,"-NO 40","pass","NO"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"3:13","no",1,10,"-LA 13","run","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"2:00","yes",3,1,"-LA 22","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"1:39","yes",1,10,"-LA 31","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"1:17","yes",1,10,"-LA 47","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"1:12","yes",2,10,"-LA 47","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"1:06","yes",1,10,"-NO 33","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,"1:02","yes",2,7,"-NO 30","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,":55","yes",1,10,"-NO 22","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,":36","yes",2,2,"-NO 14","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,":30","yes",2,12,"-NO 24","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,":22","yes",1,6,"-NO 6","pass","LAR"
"rams_at_saints_2022_reg_11","Los Angeles Rams",2,":19","no",1,10,"-NO 25","run","LAR"
"rams_at_saints_2022_reg_11","New Orleans Saints",3,"15:00","no",1,10,"-NO 25","pass","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",3,"14:22","yes",1,10,"-NO 43","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",3,"13:45","yes",2,4,"-NO 49","run","NO"
"rams_at_saints_2022_reg_11","New Orleans Saints",3,"13:04","yes",3,2,"-LA 49","pass","NO"
