"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"14:54","yes",1,10,"-CLV 11","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"14:20","yes",2,5,"-CLV 16","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"13:37","yes",3,6,"-CLV 15","pass","CLE"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"13:17","yes",1,10,"-BLT 22","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"12:36","yes",2,17,"-BLT 15","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"11:50","yes",3,9,"-BLT 23","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"11:46","yes",1,10,"-BLT 35","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"11:07","yes",2,4,"-BLT 41","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"10:21","yes",1,10,"-CLV 34","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"9:46","yes",2,8,"-CLV 32","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"8:59","yes",1,10,"-CLV 16","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"8:21","no",2,7,"-CLV 13","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"7:37","yes",3,2,"-CLV 8","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",1,"6:58","no",4,1,"-CLV 7","run","BAL"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"6:52","yes",1,10,"-CLV 7","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"6:13","no",1,10,"-CLV 21","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"5:40","yes",2,3,"-CLV 28","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"5:34","yes",3,3,"-CLV 28","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"4:58","yes",1,10,"-CLV 34","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"4:15","no",1,10,"-CLV 44","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"3:36","yes",2,9,"-CLV 45","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"2:59","yes",3,2,"-BLT 48","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"2:24","no",1,10,"-BLT 44","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,"1:48","no",2,6,"-BLT 40","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",1,":18","yes",2,17,"-BLT 39","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"15:00","yes",3,15,"-BLT 37","pass","CLE"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"14:05","yes",1,10,"-BLT 18","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"13:29","yes",1,10,"-BLT 30","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"12:47","yes",2,14,"-BLT 26","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"12:44","yes",3,14,"-BLT 26","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"12:03","yes",1,10,"-BLT 41","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"11:22","yes",2,5,"-BLT 46","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"11:19","yes",3,5,"-BLT 46","pass","BAL"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"11:07","yes",1,10,"-CLV 13","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"11:03","no",2,10,"-CLV 13","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"10:24","yes",3,11,"-CLV 12","pass","CLE"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"9:57","yes",1,10,"-BLT 38","pass","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"9:51","no",2,10,"-BLT 38","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"9:12","yes",3,3,"-BLT 45","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"8:40","yes",1,10,"-BLT 48","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"8:06","yes",2,3,"-CLV 45","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"7:46","yes",1,10,"-CLV 35","run","BAL"
"ravens_at_browns_2022_reg_15","Baltimore Ravens",2,"7:04","yes",2,11,"-CLV 36","pass","BAL"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"5:31","yes",1,10,"-CLV 25","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"5:06","yes",2,4,"-CLV 31","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"4:37","no",3,1,"-CLV 34","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"3:59","yes",1,10,"-BLT 48","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"3:31","yes",2,4,"-BLT 42","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"2:57","no",1,10,"-BLT 32","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"2:33","no",1,10,"-BLT 17","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"2:11","no",1,4,"-BLT 4","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"2:05","yes",2,4,"-BLT 4","run","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"2:00","yes",3,4,"-BLT 4","pass","CLE"
"ravens_at_browns_2022_reg_15","Cleveland Browns",2,"1:47","yes",2,1,"-BLT 29","pass","CLE"
