"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"14:54","yes",1,10,"-BLT 21","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"14:18","yes",1,10,"-BLT 43","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"13:36","yes",2,5,"-BLT 48","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"12:52","yes",3,9,"-BLT 44","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"12:37","yes",1,6,"-TB 6","run","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"11:54","yes",2,10,"-TB 10","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"11:09","yes",3,4,"-TB 4","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"11:03","no",1,10,"-TB 25","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"10:58","yes",2,10,"-TB 25","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"10:15","yes",3,1,"-TB 34","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"9:42","yes",1,10,"-TB 39","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"9:03","no",2,1,"-TB 48","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"8:22","yes",1,8,"-BLT 8","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"7:43","no",2,10,"-BLT 10","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"7:36","no",1,5,"-BLT 5","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"6:58","no",2,1,"-BLT 1","run","TB"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"6:56","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"6:13","yes",2,6,"-BLT 29","run","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,"5:28","yes",3,7,"-BLT 28","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"5:07","no",1,10,"-TB 37","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"4:37","yes",2,10,"-TB 37","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"3:57","yes",1,10,"-BLT 40","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"3:19","no",2,1,"-BLT 31","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"2:39","no",1,10,"-BLT 30","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"1:55","yes",2,2,"-BLT 22","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,"1:17","no",1,10,"-BLT 11","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,":40","yes",2,12,"-BLT 13","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",1,":34","yes",3,12,"-BLT 13","pass","TB"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",1,":26","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Baltimore Ravens",2,"15:00","yes",3,22,"-BLT 13","pass","BAL"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",2,"14:12","no",1,10,"-TB 45","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",2,"13:38","no",2,7,"-TB 48","run","TB"
"ravens_at_buccaneers_2022_reg_8","Tampa Bay Buccaneers",2,"12:58","yes",3,4,"-BLT 49","pass","TB"
