"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"15:00","yes",1,10,"-BLT 25","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"14:21","yes",2,4,"-BLT 31","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"13:52","yes",3,6,"-BLT 29","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"12:54","yes",1,15,"-BLT 35","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"11:44","yes",2,7,"-BLT 43","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"10:58","no",1,10,"-NYG 38","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"10:23","yes",2,8,"-NYG 36","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"10:19","yes",3,8,"-NYG 36","run","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",1,"9:00","yes",2,16,"-NYG 14","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,"8:13","yes",3,6,"-NYG 24","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,"7:07","no",1,15,"-NYG 26","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,"6:30","yes",2,10,"-NYG 31","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,"5:49","yes",3,7,"-NYG 34","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"5:34","yes",1,10,"-BLT 16","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"4:54","yes",2,9,"-BLT 17","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"4:15","yes",3,5,"-BLT 21","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"3:33","yes",1,10,"-BLT 36","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"2:46","yes",2,5,"-BLT 41","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",1,"2:39","yes",3,5,"-BLT 41","run","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",1,"1:22","yes",1,10,"-NYG 32","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,"1:13","yes",2,15,"-NYG 37","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,":35","yes",3,16,"-NYG 38","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",1,":26","no",1,10,"-NYG 46","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"15:00","yes",2,7,"-NYG 49","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"14:19","yes",3,5,"-BLT 49","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"13:34","yes",1,10,"-BLT 11","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"12:51","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"12:14","yes",1,10,"-BLT 39","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"11:30","yes",2,6,"-BLT 43","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"10:55","yes",1,10,"-NYG 40","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"10:49","yes",2,10,"-NYG 40","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"10:03","yes",3,8,"-NYG 38","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"9:33","yes",1,10,"-NYG 30","run","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",2,"9:15","yes",1,10,"-NYG 47","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"8:40","no",2,8,"-NYG 49","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"7:59","yes",3,4,"-BLT 47","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"7:29","yes",3,14,"-NYG 43","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"6:53","yes",1,10,"-BLT 39","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"6:12","no",1,10,"-BLT 24","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"5:39","yes",2,7,"-BLT 21","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"5:20","yes",3,12,"-BLT 26","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"4:25","yes",1,5,"-BLT 6","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"3:43","no",2,4,"-BLT 5","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"3:36","yes",3,4,"-BLT 5","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"3:31","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"3:28","yes",2,15,"-BLT 20","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"2:54","yes",1,10,"-BLT 36","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"1:57","yes",2,10,"-NYG 16","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,"1:53","yes",3,10,"-NYG 16","pass","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",2,"1:45","yes",2,7,"-NYG 28","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",2,"1:21","yes",3,5,"-NYG 30","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,":28","yes",2,17,"-BLT 5","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",2,":20","yes",3,7,"-BLT 15","run","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",2,":08","yes",1,10,"-NYG 49","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"15:00","no",1,10,"-NYG 25","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"14:21","yes",2,5,"-NYG 30","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"13:19","yes",2,11,"-NYG 39","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"13:14","yes",3,11,"-NYG 39","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"12:53","yes",1,10,"-BLT 31","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"12:12","no",1,10,"-NYG 48","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"11:21","yes",1,10,"-NYG 34","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"10:40","yes",1,10,"-NYG 16","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"10:00","yes",1,5,"-NYG 5","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"9:56","yes",2,5,"-NYG 5","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"9:49","yes",3,5,"-NYG 5","pass","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",3,"9:41","no",1,10,"-NYG 25","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"9:04","no",2,4,"-NYG 31","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"8:17","no",1,10,"-NYG 38","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"7:39","yes",2,12,"-NYG 36","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"7:00","yes",3,4,"-NYG 44","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"6:16","no",1,10,"-BLT 49","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"5:47","no",2,8,"-BLT 47","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"5:03","yes",3,5,"-BLT 44","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"4:37","no",1,10,"-BLT 25","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"4:08","no",2,2,"-BLT 17","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"3:27","no",1,10,"-BLT 10","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",3,"2:48","yes",2,5,"-BLT 5","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"2:00","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,"1:56","yes",2,10,"-BLT 25","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",3,":36","yes",2,7,"-NYG 47","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"15:00","yes",1,10,"-NYG 40","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"14:21","no",1,10,"-NYG 29","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"13:44","yes",1,10,"-NYG 14","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"13:00","yes",2,8,"-NYG 12","pass","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",4,"12:54","no",1,10,"-NYG 25","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"12:32","no",2,10,"-NYG 25","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"11:52","yes",3,4,"-NYG 31","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"11:22","no",1,10,"-NYG 49","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"10:50","yes",2,12,"-NYG 47","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"10:10","no",1,10,"-BLT 36","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"9:28","yes",2,5,"-BLT 31","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"8:48","no",1,10,"-BLT 23","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"8:05","no",2,2,"-BLT 15","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"7:24","no",3,1,"-BLT 14","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"6:43","yes",1,10,"-BLT 11","run","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"6:06","no",2,7,"-BLT 8","pass","NYG"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"6:01","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"5:22","no",2,1,"-BLT 34","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"4:39","yes",1,10,"-BLT 35","run","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"3:54","yes",2,5,"-BLT 40","pass","BAL"
"ravens_at_giants_2022_reg_6","Baltimore Ravens",4,"3:09","no",3,1,"-BLT 44","run","BAL"
"ravens_at_giants_2022_reg_6","New York Giants",4,"2:50","yes",1,10,"-BLT 13","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"2:45","yes",2,10,"-BLT 13","pass","NYG"
"ravens_at_giants_2022_reg_6","New York Giants",4,"1:46","no",1,1,"-BLT 1","run","NYG"
