"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"15:00","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"13:28","yes",3,2,"-JAX 42","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"12:17","yes",2,7,"-JAX 30","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"11:34","yes",3,4,"-JAX 27","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"11:00","yes",3,4,"-JAX 27","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"10:19","yes",1,10,"-JAX 10","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"10:12","yes",2,15,"-JAX 15","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"9:36","yes",3,10,"-JAX 10","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,"8:40","yes",2,18,"-JAX 17","pass","JAX"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,"8:09","yes",1,10,"-JAX 41","run","JAX"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,"7:28","yes",2,7,"-JAX 44","pass","JAX"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"5:31","yes",1,10,"-JAX 34","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"4:54","yes",2,3,"-JAX 27","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"4:10","no",3,1,"-JAX 25","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"3:29","yes",1,10,"-JAX 18","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"2:56","yes",2,3,"-JAX 11","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,"2:16","yes",3,4,"-JAX 12","pass","BAL"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,"2:03","no",1,10,"-JAX 25","run","JAX"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,"1:25","yes",2,10,"-JAX 25","pass","JAX"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,"1:04","yes",3,5,"-JAX 30","pass","JAX"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",1,":51","yes",1,10,"-BLT 20","run","BAL"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",1,":26","yes",2,11,"-BLT 19","pass","JAX"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",2,"15:00","no",3,1,"-BLT 29","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",2,"13:35","yes",2,5,"-BLT 46","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",2,"13:02","yes",3,2,"-BLT 49","run","BAL"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",2,"11:17","no",1,10,"-BLT 38","run","JAX"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",2,"10:45","no",1,10,"-BLT 25","run","JAX"
"ravens_at_jaguars_2022_reg_12","Jacksonville Jaguars",2,"10:03","yes",2,13,"-BLT 28","pass","JAX"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",2,"9:57","no",1,10,"-BLT 25","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",2,"9:22","yes",2,2,"-BLT 33","run","BAL"
"ravens_at_jaguars_2022_reg_12","Baltimore Ravens",2,"8:45","no",1,10,"-BLT 39","pass","BAL"
