"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_jets_2022_reg_1","New York Jets",1,"14:56","no",1,10,"-NYJ 22","run","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"14:29","yes",1,10,"-NYJ 41","pass","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"14:25","no",2,10,"-NYJ 41","run","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"14:01","yes",3,5,"-NYJ 46","pass","NYJ"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"13:42","no",1,10,"-BLT 28","pass","BAL"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"13:21","yes",2,6,"-BLT 32","pass","BAL"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"12:41","yes",3,2,"-BLT 36","run","BAL"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"12:01","yes",1,10,"-BLT 40","run","BAL"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"11:19","yes",2,10,"-BLT 40","pass","BAL"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"10:40","no",3,2,"-BLT 48","run","BAL"
"ravens_at_jets_2022_reg_1","New York Jets",1,"9:49","no",1,10,"-NYJ 11","run","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"9:11","yes",2,12,"-NYJ 9","pass","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"8:31","yes",3,9,"-NYJ 12","pass","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"8:27","yes",1,10,"-NYJ 17","run","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"7:51","yes",2,9,"-NYJ 18","run","NYJ"
"ravens_at_jets_2022_reg_1","New York Jets",1,"7:16","yes",3,9,"-NYJ 18","pass","NYJ"
"ravens_at_jets_2022_reg_1","Baltimore Ravens",1,"7:05","yes",1,10,"-BLT 34","pass","BAL"
