"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"14:20","yes",2,10,"-BLT 25","pass","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"13:38","yes",3,4,"-BLT 31","pass","BAL"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"13:23","yes",1,10,"-NE 11","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"12:47","yes",1,10,"-NE 42","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"12:09","yes",2,7,"-NE 45","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"11:54","yes",2,12,"-NE 40","pass","NE"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"10:32","yes",1,10,"-BLT 31","run","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"9:50","yes",2,5,"-BLT 36","pass","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"9:42","yes",3,5,"-BLT 36","run","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"9:17","yes",1,10,"-BLT 44","run","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"8:33","yes",2,7,"-BLT 47","pass","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"7:54","yes",1,10,"-NE 36","pass","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"7:09","yes",1,10,"-NE 25","run","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"6:29","yes",2,5,"-NE 20","pass","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"4:57","no",2,13,"-NE 17","pass","BAL"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"4:04","yes",1,10,"-NE 22","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"3:25","no",2,2,"-NE 30","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"2:54","no",1,10,"-NE 40","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"2:18","no",1,10,"-BLT 20","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"1:35","no",2,6,"-BLT 16","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"1:15","yes",2,16,"-BLT 26","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,":36","yes",3,12,"-BLT 22","pass","NE"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"14:50","yes",1,10,"-BLT 25","pass","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"13:14","yes",3,15,"-BLT 20","pass","BAL"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"12:53","no",1,10,"-NE 41","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"12:09","yes",2,5,"-NE 46","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"11:21","yes",3,4,"-NE 47","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"10:48","no",1,10,"-BLT 40","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"10:07","no",2,9,"-BLT 39","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"10:00","yes",3,9,"-BLT 39","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"9:25","yes",4,3,"-BLT 33","pass","NE"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"8:28","yes",2,11,"-BLT 32","pass","BAL"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"8:12","yes",1,10,"-BLT 32","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"7:38","yes",2,5,"-BLT 27","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"7:22","yes",1,10,"-BLT 21","pass","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"7:15","yes",2,10,"-BLT 21","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"6:35","yes",1,5,"-BLT 5","run","NE"
"ravens_at_patriots_2022_reg_3","New England Patriots",1,"6:04","yes",2,3,"-BLT 3","run","NE"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"5:58","yes",1,10,"-BLT 25","run","BAL"
"ravens_at_patriots_2022_reg_3","Baltimore Ravens",1,"5:21","yes",2,14,"-BLT 21","run","BAL"
