"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"15:00","yes",1,10,"-NO 25","pass","NO"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"14:24","yes",1,10,"-NO 40","run","NO"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"13:45","no",2,10,"-NO 40","run","NO"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"13:13","yes",3,6,"-NO 44","pass","NO"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"13:01","yes",1,10,"-BLT 11","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"11:43","yes",1,10,"-BLT 18","pass","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"11:37","yes",2,10,"-BLT 18","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"10:54","yes",3,11,"-BLT 17","pass","BAL"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"10:23","no",1,10,"-NO 22","pass","NO"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"9:47","no",2,3,"-NO 29","run","NO"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"9:11","no",3,1,"-NO 31","run","NO"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"8:25","yes",1,10,"-BLT 24","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"7:48","no",2,6,"-BLT 28","pass","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"7:15","no",3,1,"-BLT 33","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"6:35","no",1,10,"-BLT 35","pass","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"5:52","yes",1,10,"-NO 49","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"4:26","yes",3,8,"-NO 47","pass","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"3:44","yes",1,10,"-NO 37","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"2:59","yes",2,13,"-NO 40","pass","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"2:09","yes",3,1,"-NO 28","run","BAL"
"ravens_at_saints_2022_reg_9","Baltimore Ravens",1,"1:30","yes",1,10,"-NO 24","pass","BAL"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"1:20","yes",1,10,"-NO 20","run","NO"
"ravens_at_saints_2022_reg_9","New Orleans Saints",1,"1:01","yes",1,20,"-NO 10","pass","NO"
