"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"14:56","yes",1,10,"-BLT 25","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"14:19","yes",2,10,"-BLT 25","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"14:16","yes",3,10,"-BLT 25","pass","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"13:31","yes",1,10,"-PIT 23","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"12:54","yes",2,7,"-PIT 26","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"12:16","no",1,10,"-PIT 39","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"11:41","no",2,7,"-PIT 42","run","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"10:24","yes",1,10,"-BLT 25","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"9:49","yes",2,6,"-BLT 29","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"8:20","no",4,1,"-BLT 34","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"7:41","yes",1,10,"-BLT 36","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"6:57","yes",2,8,"-BLT 38","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"6:15","yes",1,10,"-BLT 49","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"5:38","yes",1,10,"-PIT 28","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"4:58","yes",2,6,"-PIT 24","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"4:54","yes",3,6,"-PIT 24","pass","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"4:46","no",1,10,"-PIT 25","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"4:12","no",2,5,"-PIT 30","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"3:30","yes",3,4,"-PIT 31","pass","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"3:16","yes",1,10,"-PIT 48","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,"2:36","yes",1,4,"-PIT 4","run","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"2:26","no",1,10,"-PIT 36","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"2:21","no",2,10,"-PIT 36","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,"1:40","yes",3,9,"-PIT 37","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,":57","no",1,10,"-BLT 49","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,":20","yes",1,7,"-BLT 7","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",1,":17","no",1,1,"-BLT 1","run","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",1,":08","yes",1,10,"-BLT 23","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"15:00","yes",2,1,"-BLT 32","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"14:25","yes",1,10,"-BLT 41","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"12:58","yes",2,16,"-PIT 49","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"12:17","yes",3,5,"-PIT 38","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"11:40","no",4,1,"-PIT 34","run","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"11:37","no",1,10,"-PIT 36","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"10:57","yes",2,2,"-PIT 44","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"10:21","yes",1,10,"-BLT 49","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"9:45","yes",2,2,"-BLT 41","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"9:05","no",3,1,"-BLT 40","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"8:27","no",1,10,"-BLT 33","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"7:26","yes",2,4,"-BLT 27","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"6:27","no",1,10,"-BLT 19","run","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"5:35","yes",1,10,"-BLT 29","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"4:51","yes",2,7,"-BLT 32","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"4:07","yes",3,7,"-BLT 32","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"3:29","yes",1,10,"-PIT 43","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"3:02","yes",1,10,"-PIT 32","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"2:29","no",2,1,"-PIT 23","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"2:00","yes",1,10,"-PIT 20","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"1:55","yes",2,9,"-PIT 19","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,"1:13","yes",3,7,"-PIT 17","pass","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,"1:03","yes",1,10,"-PIT 25","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,":42","yes",1,10,"-PIT 36","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,":36","yes",1,10,"-BLT 39","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",2,":31","yes",2,3,"-BLT 32","pass","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",2,":21","no",1,10,"-BLT 8","run","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"15:00","yes",1,10,"-PIT 25","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"14:21","yes",2,10,"-PIT 25","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"13:39","yes",3,4,"-PIT 31","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"13:01","yes",1,10,"-PIT 45","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"12:19","yes",2,6,"-PIT 49","pass","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"10:49","yes",1,10,"-BLT 20","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"10:17","no",2,1,"-BLT 29","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"9:51","yes",1,10,"-BLT 35","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"9:10","yes",1,10,"-BLT 45","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"7:43","yes",3,4,"-PIT 49","run","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"7:18","no",1,10,"-PIT 11","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"6:39","yes",2,9,"-PIT 12","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"5:59","yes",1,10,"-PIT 23","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"5:16","yes",1,10,"-PIT 33","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"4:34","yes",1,10,"-PIT 44","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,"3:54","yes",2,11,"-PIT 43","pass","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"3:03","no",1,10,"-BLT 1","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"2:26","yes",2,7,"-BLT 4","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",3,"1:13","yes",2,9,"-BLT 16","pass","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",3,":21","yes",1,10,"-PIT 32","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"15:00","yes",1,10,"-PIT 43","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"14:16","yes",2,9,"-PIT 44","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"14:09","yes",3,9,"-PIT 44","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"13:26","no",1,10,"-BLT 42","run","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"12:58","yes",1,10,"-BLT 19","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"11:24","yes",3,13,"-BLT 22","pass","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"11:14","yes",1,10,"-BLT 30","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"10:36","yes",2,5,"-BLT 35","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"9:54","no",3,1,"-BLT 39","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"9:13","yes",1,10,"-BLT 41","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"9:07","yes",2,10,"-BLT 41","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"8:31","yes",3,4,"-BLT 47","pass","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"7:50","yes",1,10,"-PIT 46","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"7:02","yes",1,10,"-PIT 32","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"6:19","no",2,4,"-PIT 26","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"5:36","yes",1,10,"-PIT 19","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"4:51","yes",2,11,"-PIT 20","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"4:08","yes",3,4,"-PIT 13","run","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"3:19","yes",1,10,"-PIT 25","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"3:17","yes",2,10,"-PIT 25","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"3:08","yes",1,10,"-BLT 23","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"2:45","yes",1,10,"-BLT 10","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"2:39","yes",2,10,"-BLT 10","pass","PIT"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,"2:34","yes",2,10,"-BLT 10","pass","PIT"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"2:24","yes",1,10,"-BLT 21","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"2:18","yes",2,4,"-BLT 27","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"2:14","yes",3,3,"-BLT 28","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"2:00","no",1,10,"-BLT 34","run","BAL"
"ravens_at_steelers_2022_reg_14","Baltimore Ravens",4,"1:19","no",2,13,"-BLT 31","run","BAL"
"ravens_at_steelers_2022_reg_14","Pittsburgh Steelers",4,":38","no",3,14,"-BLT 30","run","PIT"
