"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"14:55","yes",1,10,"-NO 28","pass","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"14:20","no",2,3,"-NO 35","run","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"13:38","no",3,1,"-NO 37","run","NO"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"12:55","yes",1,10,"-NO 43","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"12:16","yes",2,8,"-NO 41","run","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"10:56","yes",1,10,"-NO 19","run","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"10:14","yes",2,13,"-NO 22","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"10:08","yes",3,13,"-NO 22","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"9:37","no",4,1,"-NO 10","run","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"8:54","no",1,9,"-NO 9","run","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"8:14","yes",2,5,"-NO 5","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"8:09","yes",3,5,"-NO 5","pass","SF"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"7:55","no",1,10,"-NO 19","pass","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"7:04","yes",1,15,"-NO 31","run","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"6:27","yes",2,11,"-NO 35","pass","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"6:22","yes",3,11,"-NO 35","run","NO"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"5:43","no",1,10,"-SF 17","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"5:01","no",1,10,"-SF 31","run","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"4:21","no",2,7,"-SF 34","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"3:42","no",1,10,"-SF 43","run","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"3:00","yes",2,11,"-SF 42","pass","SF"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",1,"2:17","yes",3,8,"-SF 45","pass","SF"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"2:05","yes",1,10,"-NO 11","run","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,"1:24","yes",2,6,"-NO 15","pass","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",1,":17","no",2,8,"-SF 48","run","NO"
"saints_at_49ers_2022_reg_12","New Orleans Saints",2,"15:00","yes",3,11,"-NO 49","pass","NO"
"saints_at_49ers_2022_reg_12","San Francisco 49ers",2,"14:14","no",1,10,"-SF 4","run","SF"
