"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"14:53","no",1,10,"-CLV 40","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"14:20","yes",2,10,"-CLV 40","pass","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"13:43","yes",3,8,"-CLV 42","pass","CLE"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"13:25","no",1,10,"-NO 1","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"12:49","no",2,7,"-NO 4","run","NO"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"11:53","no",1,10,"-NO 49","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"11:21","no",2,8,"-NO 47","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"10:46","yes",3,4,"-NO 43","pass","CLE"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"10:34","yes",1,10,"-NO 20","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"9:59","yes",2,7,"-NO 23","pass","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"9:55","yes",3,7,"-NO 23","pass","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"9:10","yes",1,10,"-NO 31","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"8:29","no",2,2,"-NO 39","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"7:48","no",3,1,"-NO 40","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"7:10","yes",1,10,"-NO 45","pass","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"6:38","no",1,10,"-CLV 39","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"5:54","yes",2,8,"-CLV 37","pass","NO"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"5:10","no",1,10,"-CLV 3","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"4:32","no",2,6,"-CLV 7","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"3:52","yes",3,8,"-CLV 5","pass","CLE"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"3:38","yes",1,10,"-CLV 45","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",1,"3:04","yes",2,10,"-CLV 45","pass","NO"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"2:44","no",1,10,"-NO 30","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"2:05","no",2,5,"-NO 25","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,"1:23","no",1,10,"-NO 19","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",1,":44","no",2,9,"-NO 18","pass","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"15:00","yes",3,3,"-NO 12","run","CLE"
"saints_at_browns_2022_reg_16","New Orleans Saints",2,"14:55","no",1,10,"-NO 25","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",2,"14:17","no",2,8,"-NO 27","run","NO"
"saints_at_browns_2022_reg_16","New Orleans Saints",2,"13:41","yes",3,6,"-NO 29","run","NO"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"12:51","no",1,10,"-CLV 28","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"12:09","no",2,6,"-CLV 32","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"11:32","yes",3,6,"-CLV 32","pass","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"11:09","yes",3,16,"-CLV 22","pass","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"10:42","yes",3,11,"-CLV 27","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"10:02","no",1,10,"-CLV 38","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"9:35","yes",2,1,"-CLV 47","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"9:01","yes",1,10,"-CLV 49","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"8:37","no",2,8,"-NO 49","run","CLE"
"saints_at_browns_2022_reg_16","Cleveland Browns",2,"8:09","yes",3,11,"-CLV 48","pass","CLE"
