"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"15:00","no",1,10,"-TB 25","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"14:27","no",2,10,"-TB 25","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"13:50","no",1,10,"-TB 39","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"13:16","yes",2,8,"-TB 41","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"12:38","yes",3,2,"-TB 47","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"12:08","no",1,10,"-NO 47","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"11:47","no",1,10,"-NO 36","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"11:08","no",2,4,"-NO 30","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"11:04","yes",3,4,"-NO 30","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"10:32","no",1,10,"-NO 22","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"9:49","no",2,5,"-NO 17","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"9:10","no",3,1,"-NO 13","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"8:31","yes",1,6,"-NO 6","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"7:51","yes",2,5,"-NO 5","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"7:07","yes",3,4,"-NO 4","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,"6:20","no",1,10,"-NO 29","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,"5:47","yes",2,9,"-NO 30","run","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"4:07","no",1,10,"-TB 24","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"3:24","no",1,10,"-TB 35","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"2:47","no",2,6,"-TB 39","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",1,"2:06","yes",3,4,"-TB 41","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,"1:53","yes",1,10,"-NO 13","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,"1:50","yes",2,10,"-NO 13","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,"1:04","no",1,10,"-TB 47","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,":24","yes",2,6,"-TB 43","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",1,":01","no",2,16,"-NO 47","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"15:00","yes",3,8,"-TB 45","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"14:49","yes",1,10,"-TB 13","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"14:14","yes",2,8,"-TB 15","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"14:09","yes",3,8,"-TB 15","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"14:03","no",1,10,"-TB 20","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"13:14","yes",1,10,"-TB 32","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"13:07","yes",2,10,"-TB 32","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"12:31","yes",3,8,"-TB 34","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"12:17","no",1,10,"-NO 20","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"11:43","yes",2,5,"-NO 25","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"11:02","yes",3,4,"-NO 26","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"10:19","no",1,10,"-NO 45","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"9:43","no",2,6,"-NO 49","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"8:59","yes",3,6,"-NO 49","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"8:27","no",1,10,"-TB 31","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"7:41","no",2,9,"-TB 30","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"7:33","yes",1,10,"-TB 25","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"7:00","yes",2,5,"-TB 30","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"6:31","no",1,10,"-TB 35","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"5:56","yes",2,11,"-TB 34","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"5:12","yes",3,13,"-TB 32","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"4:50","yes",1,10,"-TB 40","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"4:11","yes",2,9,"-TB 39","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",2,"4:02","yes",3,9,"-TB 39","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"3:46","no",1,10,"-TB 11","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"3:43","yes",2,10,"-TB 11","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"3:07","yes",3,5,"-TB 16","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"2:32","yes",1,10,"-TB 28","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"2:00","yes",2,8,"-TB 30","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,"1:27","yes",1,10,"-TB 39","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,":59","yes",1,10,"-TB 27","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,":39","yes",2,5,"-TB 22","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,":30","yes",3,2,"-TB 19","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",2,":16","no",1,10,"-TB 23","run","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"15:00","no",1,10,"-NO 25","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"14:22","yes",2,10,"-NO 25","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"13:38","yes",3,7,"-NO 28","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"12:40","yes",1,10,"-TB 26","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"12:03","yes",2,7,"-TB 29","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"11:25","no",1,10,"-NO 49","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"11:19","yes",2,10,"-NO 49","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"10:57","yes",2,20,"-TB 41","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"10:06","no",1,10,"-NO 32","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"9:28","yes",2,5,"-NO 37","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"8:46","no",3,1,"-NO 41","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"8:05","no",1,10,"-NO 43","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"6:44","yes",1,10,"-TB 44","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"6:11","yes",1,10,"-TB 23","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"5:37","no",2,6,"-TB 19","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"4:17","no",2,2,"-TB 3","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"3:33","yes",3,7,"-TB 8","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"2:46","yes",1,10,"-TB 25","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"2:15","no",2,2,"-TB 33","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"1:37","yes",1,10,"-TB 41","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":56","yes",2,4,"-TB 47","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":51","yes",3,4,"-TB 47","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":19","no",1,10,"-NO 43","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":13","yes",2,10,"-NO 43","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":09","yes",3,10,"-NO 43","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"14:53","no",1,10,"-NO 20","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"14:13","no",2,9,"-NO 21","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"13:28","yes",3,3,"-NO 27","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"12:52","yes",1,10,"-TB 47","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"12:07","no",2,9,"-TB 46","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"11:25","yes",3,5,"-TB 42","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"11:20","yes",1,10,"-TB 33","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"10:42","yes",2,4,"-TB 27","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"9:53","yes",3,4,"-TB 27","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"9:09","no",1,10,"-TB 19","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"8:10","yes",3,2,"-TB 11","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"7:39","yes",2,17,"-TB 18","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"6:54","no",1,10,"-NO 47","run","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"6:11","no",2,8,"-NO 49","pass","NO"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"5:34","no",3,1,"-TB 44","pass","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"5:21","yes",1,10,"-TB 9","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"5:18","yes",2,10,"-TB 9","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"5:00","yes",1,10,"-TB 22","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"4:53","yes",2,10,"-TB 22","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"4:30","yes",1,10,"-TB 36","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"4:09","yes",2,2,"-TB 44","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"3:45","yes",1,10,"-NO 46","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"3:40","yes",2,1,"-NO 37","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"3:23","yes",1,10,"-NO 35","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"3:19","yes",2,10,"-NO 35","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"3:10","yes",2,20,"-NO 45","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"3:03","no",1,1,"-NO 1","pass","TB"
"saints_at_buccaneers_2022_reg_13","New Orleans Saints",3,"3:00","yes",1,10,"-NO 25","run","NO"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"2:47","yes",3,17,"-NO 18","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"2:29","yes",1,10,"-TB 37","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"2:04","yes",2,5,"-TB 42","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"1:59","yes",1,10,"-NO 49","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"1:54","yes",2,2,"-NO 41","run","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"1:30","yes",1,10,"-NO 31","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,"1:01","yes",2,6,"-NO 27","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":58","yes",3,6,"-NO 27","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":40","yes",1,10,"-NO 20","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":19","yes",1,5,"-NO 5","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":16","yes",1,15,"-NO 15","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":12","yes",2,15,"-NO 15","pass","TB"
"saints_at_buccaneers_2022_reg_13","Tampa Bay Buccaneers",3,":08","yes",3,6,"-NO 6","pass","TB"
