"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"15:00","yes",1,10,"-NO 25","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"14:28","no",2,4,"-NO 31","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"13:46","no",1,10,"-NO 48","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"13:02","no",2,11,"-NO 47","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"12:53","yes",1,10,"-ARZ 25","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"12:35","yes",2,3,"-ARZ 32","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"11:46","yes",1,10,"-NO 37","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"11:39","yes",2,10,"-NO 37","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"11:04","yes",3,5,"-NO 32","pass","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"10:54","yes",1,10,"-NO 25","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"10:26","no",2,11,"-NO 24","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"10:21","yes",3,11,"-NO 24","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"9:40","no",1,10,"-NO 39","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"9:02","yes",2,4,"-NO 45","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"8:25","no",3,1,"-NO 48","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"7:28","yes",1,15,"-NO 45","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"7:02","yes",2,5,"-ARZ 45","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"6:22","no",1,10,"-ARZ 38","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"5:39","yes",2,12,"-ARZ 40","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"4:54","yes",3,9,"-ARZ 37","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"4:12","no",1,10,"-ARZ 22","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"3:34","no",1,10,"-ARZ 12","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"2:52","no",2,6,"-ARZ 8","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",1,"2:13","yes",3,8,"-ARZ 10","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"2:06","yes",1,10,"-ARZ 20","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,"1:29","yes",1,10,"-ARZ 37","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,":51","yes",1,10,"-NO 18","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",1,":08","yes",2,9,"-NO 17","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"15:00","yes",3,10,"-NO 18","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"14:14","yes",1,7,"-NO 7","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"13:27","yes",2,10,"-NO 10","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"13:23","yes",3,10,"-NO 10","pass","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"13:15","no",1,10,"-NO 25","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"12:35","yes",2,5,"-NO 30","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"11:07","no",1,3,"-ARZ 3","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"10:33","no",2,3,"-ARZ 3","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"10:29","yes",1,10,"-ARZ 25","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"9:56","yes",2,10,"-ARZ 25","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"9:04","yes",1,10,"-ARZ 49","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"8:30","yes",2,7,"-NO 48","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"7:52","yes",1,10,"-NO 30","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"7:18","yes",2,9,"-NO 29","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"6:19","yes",1,10,"-NO 25","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"5:59","yes",2,3,"-NO 18","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"5:21","yes",1,10,"-NO 13","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"4:38","yes",2,14,"-NO 17","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"3:51","yes",3,7,"-NO 10","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"3:12","yes",4,1,"-NO 4","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"2:32","yes",1,2,"-NO 2","run","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"2:28","yes",1,10,"-NO 25","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"1:50","yes",1,10,"-NO 25","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"1:30","yes",2,2,"-NO 33","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"1:06","yes",1,10,"-NO 47","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"1:03","yes",2,10,"-NO 47","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,":42","no",1,10,"-NO 9","run","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"14:55","yes",1,10,"-ARZ 25","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"14:19","yes",2,5,"-ARZ 30","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"14:15","yes",3,5,"-ARZ 30","pass","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"14:00","no",1,10,"-NO 39","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"13:21","no",2,1,"-NO 48","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"12:37","yes",3,1,"-NO 48","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"11:59","no",1,10,"-ARZ 49","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"11:55","yes",2,10,"-ARZ 49","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"11:11","no",1,8,"-ARZ 8","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"10:36","yes",2,9,"-ARZ 9","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"9:51","yes",3,7,"-ARZ 7","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"9:44","yes",1,10,"-ARZ 25","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"9:03","yes",2,9,"-ARZ 26","pass","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"8:05","no",1,10,"-NO 46","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"7:57","no",2,10,"-NO 46","run","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"7:12","yes",3,7,"-NO 49","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"7:00","yes",1,10,"-ARZ 15","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"6:19","yes",2,13,"-ARZ 12","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"5:39","yes",1,10,"-ARZ 27","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"5:34","yes",2,15,"-ARZ 22","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"4:49","no",1,10,"-ARZ 39","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"4:13","yes",2,9,"-ARZ 40","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"3:27","yes",3,3,"-ARZ 46","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"2:41","yes",1,10,"-NO 38","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"2:21","yes",2,1,"-NO 29","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,":32","yes",2,5,"-NO 5","pass","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,":04","yes",2,3,"-NO 32","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,":01","yes",3,3,"-NO 32","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"14:49","yes",1,10,"-ARZ 10","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"14:22","yes",1,10,"-ARZ 15","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"13:39","yes",2,9,"-ARZ 16","pass","ARI"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"12:54","yes",1,10,"-ARZ 46","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"12:25","yes",1,10,"-ARZ 35","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"12:01","yes",2,5,"-ARZ 30","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"11:42","yes",1,10,"-ARZ 23","pass","NO"
"saints_at_cardinals_2022_reg_7","New Orleans Saints",2,"11:20","yes",2,4,"-ARZ 17","pass","NO"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"11:07","yes",1,10,"-ARZ 36","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"10:26","yes",2,6,"-ARZ 40","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"9:45","yes",1,10,"-NO 46","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"9:20","yes",1,10,"-NO 22","pass","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"8:32","yes",2,6,"-NO 18","run","ARI"
"saints_at_cardinals_2022_reg_7","Arizona Cardinals",2,"7:56","yes",3,8,"-NO 20","run","ARI"
