"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"15:00","no",1,10,"-NO 25","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"14:26","no",1,10,"-NO 41","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"13:51","yes",2,4,"-NO 47","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"13:14","yes",3,4,"-NO 47","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"12:34","yes",1,10,"-PHI 43","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"11:55","yes",2,6,"-PHI 39","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"11:13","yes",3,3,"-PHI 36","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"10:42","yes",1,10,"-PHI 28","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"10:06","yes",2,8,"-PHI 26","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"9:31","no",3,1,"-PHI 19","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"9:00","yes",1,10,"-PHI 17","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"8:22","no",2,6,"-PHI 13","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"8:15","no",2,11,"-PHI 18","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"7:28","yes",3,3,"-PHI 10","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"6:47","yes",4,2,"-PHI 9","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"6:07","yes",1,1,"-PHI 1","run","NO"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",1,"4:34","yes",3,16,"-PHI 19","pass","PHI"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"3:54","no",1,10,"-NO 29","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"3:12","yes",2,6,"-NO 33","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"2:35","yes",3,4,"-NO 35","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"2:01","yes",1,10,"-NO 44","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,"1:29","yes",2,8,"-NO 46","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",1,":51","yes",3,1,"-PHI 47","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"15:00","yes",2,15,"-PHI 49","run","NO"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"13:34","no",1,10,"-PHI 10","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"12:56","yes",2,6,"-PHI 14","run","PHI"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"11:28","yes",1,10,"-NO 42","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"10:52","no",1,10,"-PHI 41","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"10:14","yes",2,10,"-PHI 41","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"9:56","yes",2,20,"-NO 49","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"9:15","yes",3,16,"-PHI 47","pass","NO"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"8:30","yes",1,10,"-PHI 25","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"7:43","yes",3,16,"-PHI 19","pass","PHI"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"7:00","yes",1,10,"-NO 30","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"6:24","yes",2,7,"-NO 33","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"5:48","yes",3,4,"-NO 36","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"4:59","no",1,6,"-PHI 6","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"4:26","no",2,2,"-PHI 2","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"3:51","yes",3,1,"-PHI 1","run","NO"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"3:05","yes",1,10,"-PHI 25","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"3:01","yes",2,10,"-PHI 25","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"2:26","yes",3,3,"-PHI 32","pass","PHI"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"2:13","yes",1,10,"-NO 30","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"2:00","yes",1,10,"-NO 41","run","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"1:36","yes",1,10,"-PHI 47","pass","NO"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,":26","yes",2,15,"-PHI 20","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,":19","yes",3,7,"-PHI 28","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,":12","yes",1,10,"-PHI 40","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,":05","yes",2,10,"-PHI 40","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"14:54","yes",1,10,"-PHI 9","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"14:19","yes",2,1,"-PHI 18","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"13:49","yes",1,10,"-PHI 32","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"12:40","yes",2,9,"-NO 49","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"12:14","yes",1,10,"-NO 34","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"11:49","yes",2,2,"-NO 26","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"11:12","yes",3,4,"-NO 28","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"11:06","yes",3,14,"-NO 38","pass","PHI"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"10:52","yes",1,10,"-NO 25","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"10:18","yes",2,11,"-NO 24","pass","NO"
"saints_at_eagles_2022_reg_17","New Orleans Saints",2,"9:43","yes",3,4,"-NO 31","pass","NO"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"9:32","yes",1,10,"-PHI 14","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"8:55","yes",2,1,"-PHI 23","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"8:21","no",1,10,"-PHI 27","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"7:44","no",2,4,"-PHI 33","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"6:24","yes",3,12,"-PHI 25","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"5:41","no",1,10,"-PHI 37","run","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"5:05","yes",2,8,"-PHI 39","pass","PHI"
"saints_at_eagles_2022_reg_17","Philadelphia Eagles",2,"5:00","yes",3,13,"-PHI 34","pass","PHI"
