"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"15:00","yes",1,10,"-ATL 25","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"14:19","no",1,10,"-ATL 36","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"13:45","no",2,4,"-ATL 42","pass","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"13:41","yes",3,4,"-ATL 42","pass","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"12:57","yes",1,10,"-ATL 47","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"12:18","no",2,8,"-ATL 49","pass","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"11:37","yes",1,10,"-NO 40","pass","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"11:34","yes",2,10,"-NO 40","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"10:54","yes",3,5,"-NO 35","pass","ATL"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"10:40","no",1,10,"-NO 25","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"10:10","no",2,9,"-NO 26","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"9:28","yes",3,3,"-NO 32","pass","NO"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"9:13","no",1,10,"-ATL 21","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"8:38","yes",2,10,"-ATL 21","pass","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"8:34","yes",3,10,"-ATL 21","pass","ATL"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"7:46","no",1,10,"-NO 23","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"7:12","yes",2,5,"-NO 28","pass","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"6:33","yes",3,1,"-NO 32","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"5:55","yes",1,10,"-ATL 11","pass","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"5:51","yes",2,10,"-ATL 11","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"5:33","no",1,10,"-ATL 43","pass","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"5:29","no",2,10,"-ATL 43","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"4:52","yes",3,3,"-ATL 36","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"4:16","yes",1,10,"-ATL 30","pass","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"3:35","yes",2,8,"-ATL 28","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,"2:51","yes",3,6,"-ATL 26","pass","NO"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",1,"2:42","yes",1,10,"-ATL 34","run","ATL"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,":55","no",1,10,"-NO 44","run","NO"
"saints_at_falcons_2022_reg_1","New Orleans Saints",1,":13","no",2,3,"-NO 37","run","NO"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",2,"15:00","yes",3,1,"-NO 35","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",2,"14:22","yes",1,10,"-NO 33","pass","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",2,"13:41","yes",2,2,"-NO 25","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",2,"12:59","yes",1,10,"-NO 17","run","ATL"
"saints_at_falcons_2022_reg_1","Atlanta Falcons",2,"12:17","no",1,5,"-NO 5","run","ATL"
"saints_at_falcons_2022_reg_1","New Orleans Saints",2,"12:12","yes",1,10,"-NO 25","pass","NO"
