"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"14:54","no",1,10,"-CAR 27","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"14:16","no",1,10,"-CAR 41","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"12:49","yes",3,9,"-CAR 42","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"12:37","no",1,10,"-NO 11","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"12:08","no",2,5,"-NO 16","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"11:35","no",1,10,"-NO 43","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"11:31","no",2,10,"-NO 43","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"10:54","yes",3,6,"-NO 47","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"10:20","no",1,10,"-CAR 41","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"9:19","yes",2,7,"-CAR 38","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"8:37","yes",3,5,"-CAR 36","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"8:08","yes",3,20,"-NO 49","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"7:21","no",1,10,"-CAR 20","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"7:16","yes",2,10,"-CAR 20","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"6:39","yes",3,6,"-CAR 24","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"6:26","no",1,10,"-NO 30","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"5:47","yes",2,10,"-NO 30","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"5:32","no",1,10,"-NO 25","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"5:27","yes",2,10,"-NO 25","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,"4:41","yes",3,6,"-NO 29","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"4:26","no",1,10,"-CAR 33","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"3:50","yes",2,3,"-CAR 40","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"3:16","no",1,10,"-CAR 47","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"2:35","no",2,1,"-NO 44","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"2:12","yes",1,10,"-NO 41","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,"1:34","no",2,12,"-NO 43","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",1,":51","no",1,10,"-NO 29","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",1,":45","no",2,10,"-NO 29","run","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"15:00","yes",3,10,"-NO 29","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"14:09","yes",1,10,"-NO 25","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"13:36","no",2,5,"-NO 30","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"13:00","yes",3,3,"-NO 32","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"12:30","yes",3,13,"-NO 22","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"11:44","no",1,10,"-CAR 29","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"11:24","no",2,5,"-CAR 34","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"10:05","no",1,10,"-NO 35","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"9:58","yes",1,20,"-NO 25","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"9:28","no",2,8,"-NO 37","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"8:43","yes",3,7,"-NO 38","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"8:32","no",1,10,"-CAR 18","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"7:55","no",2,4,"-CAR 24","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"7:03","no",1,10,"-CAR 39","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"6:25","no",1,10,"-NO 47","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"5:46","no",2,1,"-NO 38","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"5:28","yes",3,1,"-NO 38","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"4:42","no",1,10,"-NO 36","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"4:36","yes",2,10,"-NO 36","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"3:54","yes",3,11,"-NO 37","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"2:50","yes",1,10,"-NO 19","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"2:46","yes",2,10,"-NO 19","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"2:00","yes",3,6,"-NO 23","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"1:34","yes",1,10,"-NO 29","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"1:27","no",2,10,"-NO 29","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,":53","yes",3,6,"-NO 33","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,":46","yes",2,3,"-CAR 11","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,":37","yes",3,3,"-CAR 11","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,":18","no",2,20,"-CAR 14","run","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"14:54","no",1,10,"-NO 8","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"14:20","no",2,4,"-NO 14","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"13:41","no",1,10,"-NO 22","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"13:01","no",1,10,"-NO 35","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"12:27","no",2,3,"-NO 42","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"11:52","yes",1,10,"-NO 46","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"11:15","yes",2,3,"-CAR 47","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"10:30","yes",3,1,"-CAR 45","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"10:01","no",1,10,"-CAR 39","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"9:22","yes",2,12,"-CAR 41","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"8:45","no",1,10,"-CAR 18","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"8:04","yes",2,11,"-CAR 19","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"7:16","no",1,10,"-CAR 38","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"6:41","yes",1,10,"-NO 44","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"5:58","yes",2,6,"-NO 40","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"5:53","yes",3,6,"-NO 40","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"5:11","yes",4,4,"-NO 38","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"5:06","no",1,10,"-NO 38","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"4:30","no",2,4,"-NO 44","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,"4:23","yes",3,4,"-NO 44","run","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"3:49","no",1,10,"-CAR 19","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"3:12","no",2,2,"-CAR 27","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"2:31","no",3,2,"-CAR 27","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"2:01","yes",1,10,"-NO 49","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"1:56","no",2,10,"-NO 49","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",2,"1:14","yes",3,5,"-NO 44","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,":59","yes",1,10,"-NO 11","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,":56","no",2,10,"-NO 11","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",2,":18","yes",3,11,"-NO 10","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"15:00","yes",1,10,"-NO 22","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"14:28","yes",2,2,"-NO 30","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"14:05","yes",1,10,"-NO 46","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"13:42","yes",2,1,"-CAR 45","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"13:13","yes",1,10,"-CAR 34","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"12:35","no",1,5,"-CAR 5","run","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"12:25","no",1,10,"-CAR 33","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"12:19","yes",2,10,"-CAR 33","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"12:06","yes",1,10,"-NO 25","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"11:29","yes",1,10,"-NO 36","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"11:19","no",1,10,"-NO 35","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"10:36","no",2,6,"-NO 31","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"9:58","no",3,4,"-NO 29","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"9:13","yes",1,10,"-NO 20","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"9:07","yes",2,10,"-NO 20","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"8:26","yes",3,6,"-NO 16","pass","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"8:19","yes",1,10,"-NO 25","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"8:14","yes",2,10,"-NO 25","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"7:50","yes",2,20,"-NO 15","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"7:09","yes",3,14,"-NO 21","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"6:50","no",1,10,"-CAR 14","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"6:05","no",2,9,"-CAR 15","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"5:20","yes",3,4,"-CAR 20","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"4:44","yes",3,14,"-CAR 10","pass","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"4:32","yes",1,10,"-CAR 33","run","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"4:28","no",2,8,"-CAR 35","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"4:22","no",3,3,"-CAR 40","run","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"3:28","yes",1,10,"-NO 10","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"2:56","yes",1,10,"-NO 48","pass","NO"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,"2:29","yes",1,4,"-CAR 4","pass","NO"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"2:21","no",1,10,"-CAR 46","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"2:00","no",2,9,"-CAR 47","run","CAR"
"saints_at_panthers_2022_reg_3","Carolina Panthers",3,"1:14","no",3,5,"-NO 49","run","CAR"
"saints_at_panthers_2022_reg_3","New Orleans Saints",3,":17","yes",1,10,"-NO 1","pass","NO"
