"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"15:00","yes",1,10,"-PIT 25","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"14:55","yes",2,10,"-PIT 25","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"14:29","yes",3,6,"-PIT 29","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"14:02","no",1,10,"-PIT 43","run","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"13:21","yes",2,7,"-PIT 46","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"13:16","yes",3,7,"-PIT 46","pass","PIT"
"saints_at_steelers_2022_reg_10","New Orleans Saints",1,"13:04","no",1,14,"-NO 5","run","NO"
"saints_at_steelers_2022_reg_10","New Orleans Saints",1,"12:28","yes",2,14,"-NO 5","run","NO"
"saints_at_steelers_2022_reg_10","New Orleans Saints",1,"11:46","yes",3,13,"-NO 6","pass","NO"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"10:59","yes",1,10,"-PIT 43","run","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"10:27","no",2,5,"-PIT 48","run","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"9:08","yes",2,14,"-NO 49","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"8:29","yes",3,13,"-NO 48","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"7:45","yes",4,2,"-NO 37","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"7:08","yes",1,10,"-NO 30","run","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"6:28","yes",2,8,"-NO 28","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"6:23","yes",1,10,"-NO 17","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"6:16","yes",2,10,"-NO 17","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"5:34","yes",1,6,"-NO 6","pass","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"5:30","yes",2,6,"-NO 6","run","PIT"
"saints_at_steelers_2022_reg_10","Pittsburgh Steelers",1,"5:09","no",3,1,"-NO 1","run","PIT"
"saints_at_steelers_2022_reg_10","New Orleans Saints",1,"4:58","yes",1,10,"-NO 10","pass","NO"
"saints_at_steelers_2022_reg_10","New Orleans Saints",1,"4:24","no",2,8,"-NO 12","pass","NO"
