"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"15:00","yes",1,10,"-SF 25","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"14:27","yes",2,4,"-SF 31","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"13:49","yes",1,10,"-SF 37","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"13:13","no",1,10,"-SEA 38","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"12:40","no",2,6,"-SEA 34","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"12:36","yes",3,6,"-SEA 34","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"11:59","no",1,10,"-SEA 27","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"11:13","no",1,7,"-SEA 7","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"10:33","yes",2,11,"-SEA 11","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"9:58","yes",3,7,"-SEA 7","pass","SF"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"9:09","yes",1,10,"-SEA 19","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"8:37","no",2,6,"-SEA 23","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"8:01","no",3,1,"-SEA 28","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"7:26","yes",1,10,"-SEA 36","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"6:45","yes",2,10,"-SEA 36","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"6:04","yes",3,5,"-SEA 41","pass","SEA"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"5:53","no",1,10,"-SF 11","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"5:14","yes",2,2,"-SF 19","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"4:50","no",1,10,"-SF 24","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"4:09","yes",2,8,"-SF 26","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"3:20","no",1,10,"-SEA 23","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"2:33","yes",2,8,"-SEA 21","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",1,"2:12","yes",3,6,"-SEA 19","pass","SF"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,"1:26","no",1,10,"-SEA 25","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,":58","no",2,4,"-SEA 31","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",1,":32","no",1,10,"-SEA 40","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"15:00","yes",2,11,"-SEA 39","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"14:31","yes",3,12,"-SEA 38","pass","SEA"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"13:35","no",1,10,"-SF 22","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"13:30","no",1,10,"-SF 38","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"12:48","yes",2,14,"-SF 34","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"12:08","yes",3,2,"-SF 46","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"11:28","yes",1,10,"-SEA 38","pass","SF"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"11:19","yes",1,10,"-SEA 25","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"10:43","no",1,10,"-SEA 42","pass","SEA"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"9:19","no",1,10,"-SEA 40","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"8:38","no",2,9,"-SEA 39","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"7:55","yes",3,9,"-SEA 39","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"7:49","yes",4,9,"-SEA 39","pass","SF"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"7:42","yes",1,10,"-SEA 39","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"7:03","no",2,12,"-SEA 37","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"6:27","yes",2,17,"-SEA 32","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"6:21","yes",3,17,"-SEA 32","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"6:08","yes",1,10,"-SF 42","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"5:47","no",2,8,"-SF 40","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"5:03","yes",1,10,"-SF 13","run","SEA"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"4:12","no",1,10,"-SF 7","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"3:37","no",1,10,"-SF 20","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"2:55","no",2,5,"-SF 25","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"2:13","yes",3,6,"-SF 24","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"1:49","yes",1,10,"-SEA 22","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"1:45","yes",2,10,"-SEA 22","pass","SF"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"1:37","yes",3,3,"-SEA 15","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"1:29","no",1,1,"-SEA 1","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"1:20","yes",1,10,"-SEA 16","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"1:15","yes",2,9,"-SEA 17","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,":49","yes",3,2,"-SEA 24","run","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,":28","yes",1,10,"-SEA 28","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,":23","yes",1,10,"-SEA 40","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,":19","yes",2,2,"-SEA 48","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,":15","yes",1,10,"-SF 45","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"14:13","yes",2,18,"-SEA 8","pass","SEA"
"seahawks_at_49ers_2022_reg_2","Seattle Seahawks",2,"13:44","yes",3,11,"-SEA 15","pass","SEA"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"12:49","no",1,10,"-SF 29","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"12:21","yes",1,10,"-SF 48","pass","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"11:45","no",1,10,"-SEA 38","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"11:08","no",2,8,"-SEA 36","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"10:28","no",1,10,"-SEA 20","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"9:51","yes",2,10,"-SEA 20","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"8:32","no",4,1,"-SEA 11","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"7:53","no",1,8,"-SEA 8","run","SF"
"seahawks_at_49ers_2022_reg_2","San Francisco 49ers",2,"7:13","no",2,3,"-SEA 3","run","SF"
