"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"14:56","no",1,10,"-TB 16","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"14:21","yes",2,10,"-TB 16","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"14:18","yes",3,10,"-TB 16","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"14:02","yes",1,10,"-SEA 25","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"13:43","yes",1,10,"-SEA 35","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"13:06","no",2,6,"-SEA 39","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"11:05","no",1,10,"-TB 41","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"10:31","yes",1,10,"-SEA 30","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"10:09","yes",1,18,"-SEA 38","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"9:39","yes",2,15,"-SEA 35","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"9:02","yes",3,14,"-SEA 34","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"8:53","yes",1,10,"-SEA 42","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"8:15","yes",2,8,"-SEA 44","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"7:48","yes",1,10,"-TB 42","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"7:11","no",2,9,"-TB 41","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",1,"6:34","yes",3,22,"-SEA 46","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"5:12","no",1,10,"-TB 12","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"4:38","yes",2,7,"-TB 15","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"4:02","no",1,10,"-TB 25","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"3:27","no",2,6,"-TB 29","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"2:45","no",3,1,"-TB 34","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"2:02","no",1,10,"-TB 42","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,"1:26","yes",2,8,"-TB 44","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",1,":11","yes",1,10,"-SEA 43","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"15:00","yes",2,9,"-SEA 42","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"14:27","no",1,10,"-SEA 31","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"14:24","no",2,10,"-SEA 31","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"13:48","yes",3,10,"-SEA 31","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"13:36","yes",1,10,"-SEA 27","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"13:04","no",2,9,"-SEA 28","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"12:18","yes",3,2,"-SEA 35","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"12:05","yes",1,10,"-TB 14","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"11:29","yes",2,6,"-TB 18","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"10:50","yes",3,2,"-TB 22","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"10:12","yes",1,10,"-TB 27","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"9:35","yes",2,8,"-TB 29","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"9:31","no",1,10,"-TB 32","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"8:51","yes",2,8,"-TB 34","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"8:13","no",1,10,"-TB 44","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"7:38","yes",2,7,"-TB 47","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"7:01","yes",3,3,"-SEA 49","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"6:21","no",1,10,"-SEA 46","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"5:38","no",1,10,"-SEA 27","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"4:56","no",1,5,"-SEA 5","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"4:33","no",2,1,"-SEA 1","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"4:27","yes",1,10,"-SEA 21","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"3:52","no",2,1,"-SEA 30","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"3:17","yes",1,10,"-SEA 33","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"3:12","yes",2,10,"-SEA 33","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",2,"3:07","yes",3,10,"-SEA 33","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"2:53","no",1,10,"-TB 4","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"2:19","no",2,9,"-TB 5","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"2:00","yes",3,7,"-TB 7","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,"1:11","yes",3,1,"-SEA 39","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,":28","yes",1,10,"-TB 2","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,":26","no",2,10,"-TB 2","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",2,":23","no",3,11,"-TB 1","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"15:00","yes",1,10,"-SEA 25","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"14:26","yes",1,10,"-SEA 38","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"13:57","yes",1,10,"-TB 47","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"13:27","yes",1,10,"-TB 35","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"13:02","yes",1,10,"-TB 24","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"12:19","yes",2,8,"-TB 22","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"12:14","yes",3,8,"-TB 22","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"12:00","yes",1,10,"-TB 29","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"11:19","yes",2,8,"-TB 31","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"10:38","yes",3,3,"-TB 36","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"10:10","yes",1,10,"-TB 41","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"9:27","yes",2,8,"-TB 43","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"8:05","no",1,10,"-SEA 48","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"7:19","yes",2,2,"-SEA 40","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"6:33","yes",1,10,"-SEA 16","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"6:02","yes",1,10,"-SEA 35","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"5:32","yes",1,10,"-SEA 46","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"5:05","yes",1,10,"-TB 44","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"4:39","no",2,4,"-TB 38","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"3:51","yes",2,6,"-TB 18","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"3:09","yes",3,2,"-TB 14","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",3,"2:40","yes",1,9,"-TB 9","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"2:29","no",1,10,"-TB 13","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"1:48","no",2,3,"-TB 20","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,"1:05","yes",3,7,"-TB 16","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",3,":23","no",1,10,"-TB 28","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"15:00","no",1,10,"-SEA 43","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"14:24","yes",2,8,"-SEA 41","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"13:42","yes",1,10,"-SEA 16","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"13:00","no",2,9,"-SEA 15","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"12:13","yes",3,1,"-SEA 7","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"11:30","no",1,4,"-SEA 4","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"10:53","yes",2,4,"-SEA 4","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"10:43","no",1,10,"-SEA 23","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"10:14","yes",1,10,"-SEA 46","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"10:11","yes",1,10,"-TB 49","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"9:35","yes",1,10,"-TB 36","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"8:57","yes",2,3,"-TB 29","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"8:24","yes",1,10,"-TB 21","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"8:14","no",1,10,"-TB 23","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"7:40","yes",2,10,"-TB 23","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"7:07","no",1,10,"-TB 34","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"6:31","yes",2,8,"-TB 36","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"6:24","yes",1,10,"-TB 45","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"6:19","yes",2,10,"-TB 45","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"5:49","yes",3,3,"-TB 38","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"5:43","yes",4,3,"-TB 38","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"5:08","yes",1,10,"-TB 28","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"4:45","yes",2,1,"-TB 19","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"4:40","yes",3,1,"-TB 19","run","SEA"
"seahawks_at_buccaneers_2022_reg_10","Seattle Seahawks",4,"4:04","yes",4,1,"-TB 19","pass","SEA"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"3:55","yes",1,10,"-TB 17","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"3:13","yes",2,9,"-TB 18","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"2:35","yes",1,10,"-TB 31","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"2:25","no",2,7,"-TB 34","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"2:18","no",1,10,"-TB 46","pass","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"2:00","no",1,10,"-SEA 37","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"1:42","no",1,10,"-SEA 19","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,"1:01","no",2,10,"-SEA 19","run","TB"
"seahawks_at_buccaneers_2022_reg_10","Tampa Bay Buccaneers",4,":37","no",3,11,"-SEA 20","run","TB"
