"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"14:54","no",1,10,"-SEA 35","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"14:20","yes",2,7,"-SEA 38","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"13:34","yes",3,10,"-SEA 35","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"13:00","yes",1,10,"-ARZ 49","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"12:53","yes",1,5,"-ARZ 44","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"12:21","yes",1,10,"-ARZ 35","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"11:42","no",2,6,"-ARZ 31","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"11:00","yes",3,6,"-ARZ 31","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"10:46","yes",1,10,"-ARZ 17","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"10:24","yes",2,5,"-ARZ 22","run","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"9:47","yes",3,5,"-ARZ 22","run","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"9:05","yes",1,10,"-ARZ 43","run","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"8:33","yes",2,8,"-ARZ 45","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"8:02","yes",1,10,"-SEA 41","run","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"7:29","yes",1,10,"-SEA 30","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"6:54","yes",2,4,"-SEA 24","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"6:25","yes",3,2,"-SEA 22","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"6:17","no",1,10,"-SEA 25","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"5:47","yes",2,11,"-SEA 24","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"5:12","yes",3,7,"-SEA 28","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"4:52","no",1,10,"-ARZ 20","run","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",1,"4:21","yes",2,6,"-ARZ 24","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"3:07","yes",1,10,"-SEA 21","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"2:26","no",2,7,"-SEA 24","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,"1:41","yes",3,3,"-SEA 28","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,":56","no",1,10,"-SEA 40","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",1,":11","yes",2,3,"-SEA 47","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"15:00","no",1,10,"-ARZ 48","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"14:21","no",1,10,"-ARZ 30","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"13:49","no",2,7,"-ARZ 27","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"13:23","yes",1,10,"-ARZ 12","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"12:46","yes",2,2,"-ARZ 4","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"12:42","no",1,2,"-ARZ 2","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"12:08","yes",2,4,"-ARZ 4","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"12:04","yes",3,4,"-ARZ 4","pass","SEA"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",2,"11:52","no",1,10,"-ARZ 10","run","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",2,"11:16","yes",2,8,"-ARZ 12","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",2,"10:32","yes",1,10,"-ARZ 21","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",2,"10:01","yes",2,12,"-ARZ 19","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Arizona Cardinals",2,"9:00","yes",3,18,"-ARZ 13","pass","ARI"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"8:24","no",1,10,"-ARZ 44","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"7:57","no",2,7,"-ARZ 41","run","SEA"
"seahawks_at_cardinals_2022_reg_9","Seattle Seahawks",2,"7:24","yes",3,4,"-ARZ 38","pass","SEA"
