"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"14:55","yes",1,10,"-SEA 19","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"14:21","no",1,10,"-SEA 35","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"13:57","yes",2,10,"-SEA 35","run","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"13:20","yes",1,10,"-SEA 41","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"12:15","yes",3,2,"-SEA 33","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"11:49","no",4,1,"-SEA 32","run","LAC"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"11:40","yes",1,10,"-SEA 32","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"11:37","no",1,10,"-SEA 43","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"11:31","yes",1,20,"-SEA 33","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"11:25","yes",2,20,"-SEA 33","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"10:42","yes",3,13,"-SEA 40","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"10:37","no",1,10,"-LAC 46","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"10:05","no",2,3,"-LAC 39","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"9:36","yes",2,13,"-LAC 49","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"8:55","yes",3,1,"-LAC 37","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"8:24","yes",1,10,"-LAC 16","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"7:39","yes",2,14,"-LAC 20","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"7:35","yes",3,14,"-LAC 20","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"7:24","yes",1,10,"-LAC 25","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"6:52","no",1,10,"-LAC 40","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"6:16","yes",2,8,"-LAC 42","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"5:26","no",1,10,"-LAC 43","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"5:00","no",2,1,"-LAC 34","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"4:33","no",1,10,"-LAC 23","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"4:28","yes",2,10,"-LAC 23","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"4:23","yes",1,10,"-LAC 12","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"3:35","yes",2,9,"-LAC 26","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"2:54","no",1,10,"-LAC 49","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"2:50","yes",2,10,"-LAC 49","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"2:34","no",1,10,"-LAC 19","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",1,"2:00","yes",2,9,"-LAC 18","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,"1:08","no",1,10,"-LAC 25","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",1,":31","yes",1,10,"-LAC 47","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"15:00","no",1,10,"-SEA 43","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"14:42","no",2,2,"-SEA 35","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"14:04","no",1,10,"-SEA 21","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"13:27","yes",2,6,"-SEA 17","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"13:22","yes",3,6,"-SEA 17","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"12:50","yes",1,7,"-SEA 7","run","LAC"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"12:38","no",1,10,"-SEA 30","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"11:23","yes",2,10,"-SEA 33","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"11:03","yes",3,7,"-SEA 30","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"10:26","yes",1,10,"-SEA 20","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"10:21","no",2,10,"-SEA 20","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"9:43","yes",3,3,"-SEA 13","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"9:37","no",1,10,"-SEA 25","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"9:01","yes",2,2,"-SEA 33","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"8:17","no",1,10,"-SEA 36","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"7:37","yes",2,8,"-SEA 38","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"7:06","yes",2,18,"-SEA 28","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"6:19","yes",3,7,"-SEA 39","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"5:33","no",1,10,"-LAC 27","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"5:16","yes",2,9,"-LAC 28","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"4:39","yes",3,14,"-LAC 23","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"4:23","yes",1,10,"-SEA 27","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"3:48","no",2,7,"-SEA 30","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"3:09","yes",1,10,"-SEA 38","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"2:33","no",1,10,"-LAC 34","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"2:00","yes",2,8,"-LAC 32","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"1:50","no",1,10,"-LAC 23","run","SEA"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,"1:46","yes",2,10,"-LAC 23","pass","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"1:40","yes",1,10,"-LAC 25","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"1:23","yes",2,5,"-LAC 30","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"1:04","yes",1,10,"-LAC 36","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,":46","yes",1,10,"-LAC 47","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,":42","yes",2,10,"-LAC 47","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,":38","yes",3,10,"-LAC 47","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Seattle Seahawks",2,":25","no",1,10,"-SEA 9","run","SEA"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"14:54","no",1,10,"-LAC 23","run","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"14:33","no",2,8,"-LAC 25","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"14:03","no",1,10,"-LAC 41","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"13:24","no",1,10,"-SEA 47","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"13:16","yes",2,10,"-SEA 47","pass","LAC"
"seahawks_at_chargers_2022_reg_7","Los Angeles Chargers",2,"12:47","yes",2,20,"-LAC 43","pass","LAC"
