"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"14:55","no",1,10,"-KC 29","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"14:33","yes",2,2,"-KC 37","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"14:25","yes",3,2,"-KC 37","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"14:15","no",1,10,"-SEA 7","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"13:57","no",1,12,"-SEA 5","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"13:16","yes",2,12,"-SEA 5","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"12:45","yes",3,10,"-SEA 7","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"11:53","yes",1,10,"-KC 37","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"11:21","no",2,3,"-KC 44","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"10:45","no",1,10,"-KC 49","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"9:50","yes",1,10,"-SEA 41","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"9:14","yes",1,10,"-SEA 25","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"8:36","yes",2,6,"-SEA 21","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"7:59","no",3,1,"-SEA 16","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"7:22","yes",1,10,"-SEA 13","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"6:46","yes",2,5,"-SEA 8","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"6:31","no",1,10,"-KC 48","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"5:48","no",2,7,"-KC 45","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"5:03","yes",3,10,"-KC 48","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"4:15","yes",4,3,"-KC 41","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"4:11","no",1,10,"-KC 41","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"3:36","yes",2,2,"-KC 49","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"3:30","no",1,10,"-SEA 46","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"3:22","yes",2,10,"-SEA 46","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",1,"2:46","yes",3,6,"-SEA 42","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"2:34","no",1,10,"-SEA 20","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"1:54","yes",2,8,"-SEA 22","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"1:50","yes",3,8,"-SEA 22","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,"1:28","yes",2,7,"-KC 33","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",1,":11","yes",3,3,"-KC 37","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"15:00","no",1,10,"-SEA 16","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"14:16","no",2,7,"-SEA 19","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"12:17","no",1,10,"-KC 47","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"11:34","yes",2,4,"-SEA 47","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"10:59","yes",1,10,"-SEA 41","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"10:55","yes",2,10,"-SEA 41","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"10:13","yes",3,5,"-SEA 36","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"9:37","no",1,9,"-SEA 9","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"9:02","yes",2,9,"-SEA 9","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"8:51","no",1,10,"-SEA 28","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"8:18","yes",2,10,"-SEA 28","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"7:46","no",3,1,"-SEA 37","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"7:07","yes",1,10,"-SEA 39","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"7:02","yes",2,10,"-SEA 39","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"6:20","yes",3,11,"-SEA 38","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"5:28","yes",1,10,"-KC 28","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"4:53","yes",2,4,"-KC 34","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"4:10","no",1,10,"-SEA 34","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"3:26","yes",2,9,"-SEA 33","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",2,"2:49","yes",3,5,"-SEA 29","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"2:33","yes",1,10,"-SEA 7","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"2:06","yes",1,10,"-SEA 18","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"2:02","yes",2,10,"-SEA 18","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"1:50","yes",1,10,"-SEA 25","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"1:30","yes",2,2,"-SEA 33","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,"1:02","yes",1,10,"-KC 32","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,":56","yes",2,10,"-KC 18","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,":23","yes",3,4,"-KC 12","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,":18","yes",1,7,"-KC 7","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,":09","yes",2,3,"-KC 3","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",2,":05","yes",3,3,"-KC 3","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"15:00","no",1,10,"-SEA 25","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"14:22","yes",2,6,"-SEA 29","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"14:15","yes",3,6,"-SEA 29","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"14:05","yes",1,10,"-KC 33","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"13:59","yes",2,10,"-KC 33","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"13:18","yes",3,3,"-KC 40","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"13:00","no",1,10,"-SEA 18","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"12:23","no",1,10,"-SEA 38","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"11:37","yes",1,10,"-SEA 49","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"10:58","yes",2,8,"-KC 49","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"10:26","yes",3,3,"-KC 44","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"10:02","no",4,1,"-KC 42","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"9:31","yes",1,10,"-KC 40","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"8:48","yes",2,12,"-KC 42","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"8:07","yes",3,10,"-KC 40","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"7:30","yes",4,4,"-KC 34","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"7:24","yes",1,10,"-KC 34","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"6:35","yes",2,11,"-KC 33","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"6:05","yes",1,10,"-KC 46","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",3,"4:47","yes",3,15,"-KC 41","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"4:31","no",1,10,"-SEA 26","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"3:54","no",2,6,"-SEA 30","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"2:02","no",1,15,"-KC 36","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,"1:20","yes",2,16,"-KC 37","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",3,":33","yes",3,7,"-KC 28","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"15:00","yes",4,8,"-KC 29","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",4,"14:53","no",1,10,"-KC 22","run","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",4,"14:18","yes",2,8,"-KC 24","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",4,"14:12","yes",2,18,"-KC 14","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",4,"14:07","yes",3,18,"-KC 14","pass","KC"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"13:23","no",1,10,"-SEA 45","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"12:44","no",2,1,"-KC 46","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"12:03","no",1,10,"-KC 42","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"11:18","no",2,15,"-KC 47","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"10:04","no",1,10,"-KC 32","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"9:28","no",2,3,"-KC 25","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"8:32","no",1,10,"-KC 20","run","SEA"
"seahawks_at_chiefs_2022_reg_16","Seattle Seahawks",4,"7:48","yes",2,12,"-KC 22","pass","SEA"
"seahawks_at_chiefs_2022_reg_16","Kansas City Chiefs",4,"7:42","yes",1,10,"-KC 20","pass","KC"
