"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"15:00","yes",1,10,"-SEA 25","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"14:18","no",2,1,"-SEA 34","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"13:48","no",1,10,"-SEA 35","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"13:12","no",2,3,"-SEA 42","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"12:30","yes",3,3,"-SEA 42","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"11:49","yes",1,10,"-SEA 48","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"11:17","no",2,2,"-DET 44","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"11:11","yes",3,7,"-DET 49","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"10:30","no",1,10,"-DET 32","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"9:30","no",2,5,"-DET 27","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"8:29","yes",1,15,"-DET 17","pass","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"8:16","no",1,10,"-DET 26","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"7:46","yes",2,5,"-DET 31","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"7:41","yes",3,5,"-DET 31","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"6:54","no",1,10,"-SEA 32","pass","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"6:47","no",1,10,"-SEA 25","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"6:17","yes",1,10,"-SEA 38","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"5:41","no",1,10,"-DET 39","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"5:12","no",1,9,"-DET 9","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,"4:40","yes",2,8,"-DET 8","run","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"4:26","yes",1,10,"-DET 28","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"3:51","no",2,6,"-DET 32","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"3:12","yes",3,3,"-DET 35","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",1,"2:23","yes",1,10,"-DET 41","run","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",1,":49","yes",1,10,"-SEA 48","pass","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"15:00","no",2,10,"-SEA 48","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"14:00","no",1,15,"-SEA 32","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"13:22","yes",2,14,"-SEA 31","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"13:18","yes",3,14,"-SEA 31","pass","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"13:07","no",1,10,"-SEA 40","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"12:32","no",2,7,"-SEA 43","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"12:07","no",3,1,"-SEA 49","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"11:27","no",1,10,"-DET 49","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"10:48","yes",1,10,"-DET 36","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"10:42","yes",1,20,"-DET 46","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"10:06","yes",2,25,"-SEA 49","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"9:17","yes",3,12,"-DET 38","pass","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"9:02","no",1,10,"-DET 16","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"8:32","no",2,9,"-DET 17","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"7:58","yes",3,5,"-DET 21","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"7:26","no",1,10,"-DET 30","run","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"6:42","yes",1,10,"-SEA 48","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"6:22","no",1,20,"-SEA 38","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"5:43","yes",2,14,"-SEA 44","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"5:09","yes",1,2,"-DET 2","pass","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"5:04","no",1,10,"-DET 25","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"4:36","no",1,20,"-DET 15","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"4:03","yes",2,13,"-DET 22","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"3:41","yes",2,23,"-DET 12","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"3:03","no",1,10,"-DET 40","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"2:56","no",1,10,"-DET 45","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",2,"2:29","no",2,1,"-SEA 46","run","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"2:00","yes",2,5,"-SEA 35","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"1:05","yes",1,10,"-SEA 27","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,"1:00","yes",2,10,"-SEA 27","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,":34","no",1,1,"-SEA 1","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,":25","no",2,1,"-SEA 1","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,":20","no",3,1,"-SEA 1","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",2,":03","no",4,1,"-SEA 1","run","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"14:49","no",1,10,"-DET 25","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"14:15","no",2,6,"-DET 29","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"13:42","yes",3,3,"-DET 32","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"13:11","no",1,10,"-DET 36","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"12:34","no",2,10,"-DET 36","pass","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"11:04","yes",1,10,"-SEA 22","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"10:34","yes",1,10,"-SEA 48","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"9:46","no",1,15,"-DET 31","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"9:06","yes",2,11,"-DET 27","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"8:20","yes",3,10,"-DET 26","pass","SEA"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"7:29","yes",1,10,"-DET 29","pass","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"7:11","no",1,10,"-DET 46","run","DET"
"seahawks_at_lions_2022_reg_4","Detroit Lions",3,"6:39","no",2,7,"-DET 49","run","DET"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"6:30","no",1,10,"-SEA 25","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"6:01","yes",2,12,"-SEA 23","pass","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"5:23","no",3,1,"-SEA 34","run","SEA"
"seahawks_at_lions_2022_reg_4","Seattle Seahawks",3,"4:51","yes",1,10,"-SEA 35","pass","SEA"
