"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"14:55","no",1,10,"-LA 23","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"14:17","no",2,2,"-LA 31","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"13:40","no",1,10,"-LA 38","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"13:05","no",2,3,"-LA 45","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"12:21","no",3,2,"-LA 46","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"11:38","no",1,10,"-SEA 32","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"11:31","yes",2,10,"-SEA 32","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"10:56","yes",3,2,"-SEA 24","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"10:23","no",1,10,"-SEA 15","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"9:35","no",1,1,"-SEA 1","run","LAR"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"9:30","yes",1,15,"-SEA 20","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"8:10","yes",2,9,"-LA 49","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"7:37","no",1,10,"-LA 39","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"6:14","yes",3,7,"-LA 36","pass","SEA"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"6:05","no",1,10,"-LA 25","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"5:26","no",2,2,"-LA 33","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"4:44","no",1,10,"-SEA 37","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"4:03","no",1,10,"-SEA 24","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"3:23","no",2,7,"-SEA 21","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"2:42","yes",3,8,"-SEA 22","pass","LAR"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"2:34","yes",1,10,"-SEA 25","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"2:28","yes",2,10,"-SEA 25","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",1,"2:25","yes",3,15,"-SEA 20","pass","SEA"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"2:10","no",1,10,"-LA 14","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,"1:32","no",2,9,"-LA 15","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,":54","no",1,10,"-LA 28","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",1,":17","yes",3,4,"-LA 34","pass","LAR"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"15:00","yes",1,10,"-SEA 9","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"14:23","no",1,10,"-SEA 21","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"13:42","yes",2,4,"-SEA 27","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"13:09","yes",1,10,"-SEA 44","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"12:32","yes",2,2,"-LA 48","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"11:49","yes",1,10,"-LA 23","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"11:44","yes",2,10,"-LA 23","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"11:01","yes",3,3,"-LA 16","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"10:36","no",1,4,"-LA 4","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"9:59","no",2,4,"-LA 4","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"9:54","yes",3,4,"-LA 4","pass","SEA"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"9:48","no",1,10,"-LA 25","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"9:10","no",2,5,"-LA 30","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"9:05","yes",3,5,"-LA 30","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"9:00","no",1,10,"-LA 36","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"8:26","no",2,9,"-LA 37","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"7:41","no",3,3,"-LA 43","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"6:56","no",1,10,"-LA 46","run","LAR"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"5:41","no",1,10,"-SEA 16","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",2,"4:45","yes",2,15,"-SEA 11","pass","SEA"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"3:04","no",1,10,"-LA 37","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"2:31","no",2,8,"-LA 39","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"2:03","no",1,10,"-SEA 45","pass","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"1:57","no",1,10,"-SEA 30","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,"1:06","yes",3,17,"-SEA 37","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,":48","yes",2,21,"-SEA 14","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",2,":44","yes",3,17,"-SEA 18","run","LAR"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"15:00","no",1,10,"-SEA 25","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"14:22","yes",1,10,"-SEA 37","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"13:53","yes",1,10,"-LA 44","run","SEA"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",3,"13:13","no",1,10,"-LA 29","run","LAR"
"seahawks_at_rams_2022_reg_13","Los Angeles Rams",3,"12:36","yes",2,10,"-LA 29","run","LAR"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"11:22","no",1,10,"-SEA 17","run","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"10:53","yes",2,12,"-SEA 15","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"10:48","yes",1,10,"-SEA 30","pass","SEA"
"seahawks_at_rams_2022_reg_13","Seattle Seahawks",3,"10:23","yes",1,10,"-LA 30","run","SEA"
