"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"14:56","no",1,10,"-NO 22","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"14:21","no",2,4,"-NO 28","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"13:46","no",1,10,"-NO 34","pass","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"13:11","no",1,10,"-NO 45","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"12:26","no",2,6,"-NO 49","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"11:36","yes",3,1,"-SEA 46","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"11:01","no",1,10,"-SEA 42","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"10:27","yes",2,8,"-SEA 40","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"9:45","yes",3,5,"-SEA 37","pass","NO"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"9:34","no",1,10,"-SEA 25","run","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"8:53","no",2,5,"-SEA 30","pass","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"8:19","no",1,10,"-SEA 45","run","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"7:37","yes",2,9,"-SEA 46","run","SEA"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"6:36","no",1,10,"-NO 11","pass","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"6:01","no",1,10,"-NO 29","run","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"5:18","yes",2,10,"-NO 29","pass","NO"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"5:14","yes",3,5,"-NO 34","pass","NO"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"4:10","no",1,10,"-SEA 26","pass","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"4:05","no",2,10,"-SEA 26","run","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"3:26","no",1,10,"-NO 42","run","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"2:40","no",2,7,"-NO 39","pass","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"2:34","yes",2,7,"-NO 39","run","SEA"
"seahawks_at_saints_2022_reg_5","Seattle Seahawks",1,"1:55","yes",3,5,"-NO 37","run","SEA"
"seahawks_at_saints_2022_reg_5","New Orleans Saints",1,"1:06","no",1,10,"-NO 31","run","NO"
