"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"15:00","yes",1,10,"-PIT 25","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"14:39","yes",2,7,"-PIT 28","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"12:43","yes",1,10,"-CIN 25","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"12:05","no",2,5,"-CIN 30","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"11:34","yes",1,10,"-CIN 36","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"10:55","no",2,7,"-CIN 39","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"10:13","yes",3,7,"-CIN 39","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"9:34","yes",1,10,"-CIN 48","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"8:57","yes",1,10,"-PIT 34","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"8:16","yes",2,10,"-PIT 34","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"7:17","yes",1,10,"-PIT 25","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"6:33","yes",2,8,"-PIT 27","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"6:02","yes",3,5,"-PIT 30","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"5:47","yes",1,15,"-CIN 30","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"5:08","no",2,10,"-CIN 35","run","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"4:22","yes",1,10,"-CIN 34","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"3:51","yes",1,3,"-CIN 3","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"3:14","no",2,1,"-CIN 1","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"2:33","yes",3,2,"-CIN 2","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"2:25","yes",1,10,"-CIN 37","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"1:28","yes",2,9,"-CIN 38","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,":43","yes",3,2,"-CIN 45","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,":01","no",1,10,"-PIT 45","run","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"14:20","yes",3,5,"-PIT 40","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"13:45","no",1,10,"-PIT 35","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"13:11","yes",2,14,"-PIT 39","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"13:08","no",1,10,"-PIT 41","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"12:29","yes",2,7,"-PIT 44","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"11:47","no",1,10,"-CIN 41","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"10:59","yes",1,9,"-CIN 9","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"10:18","yes",2,7,"-CIN 7","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"9:35","yes",3,3,"-CIN 3","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"9:31","no",1,1,"-CIN 1","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"8:50","no",2,1,"-CIN 1","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"8:46","no",1,10,"-CIN 25","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"8:15","yes",2,8,"-CIN 27","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"7:27","no",1,10,"-CIN 36","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"6:56","yes",2,7,"-CIN 39","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"6:15","yes",3,4,"-CIN 42","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"5:24","yes",1,10,"-PIT 8","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"5:20","no",2,10,"-PIT 8","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,"4:41","yes",3,8,"-PIT 10","run","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"4:01","no",1,10,"-CIN 35","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"3:16","no",1,10,"-PIT 44","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"2:37","yes",2,10,"-PIT 44","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"2:00","yes",3,6,"-PIT 40","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"1:16","no",4,1,"-PIT 35","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,"1:09","yes",1,4,"-PIT 4","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,":27","yes",2,8,"-PIT 8","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",1,":23","yes",3,8,"-PIT 8","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",1,":14","no",1,10,"-PIT 25","run","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"15:00","yes",1,10,"-CIN 25","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"14:23","no",2,5,"-CIN 30","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"13:45","yes",3,8,"-CIN 27","run","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"12:57","no",1,10,"-PIT 9","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"12:52","no",2,10,"-PIT 9","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"12:08","yes",3,2,"-PIT 17","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"11:28","no",1,10,"-PIT 20","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"10:43","yes",2,14,"-PIT 16","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"10:38","yes",3,14,"-PIT 16","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"10:25","yes",1,10,"-PIT 46","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"9:46","no",1,10,"-PIT 35","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"9:00","yes",2,9,"-PIT 34","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"8:21","yes",3,5,"-PIT 30","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"6:58","yes",2,14,"-PIT 28","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"6:12","no",1,4,"-PIT 4","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"5:29","yes",2,4,"-PIT 4","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"4:44","yes",3,2,"-PIT 2","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"3:55","yes",2,12,"-PIT 23","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"3:12","yes",3,5,"-PIT 30","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"2:27","yes",1,10,"-PIT 36","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"2:00","yes",2,8,"-PIT 38","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"1:19","yes",3,6,"-PIT 40","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"1:00","yes",3,16,"-PIT 30","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":21","no",1,10,"-CIN 9","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"14:15","yes",3,14,"-CIN 5","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"13:21","no",1,10,"-CIN 45","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"12:14","yes",3,2,"-CIN 37","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"11:34","yes",1,10,"-CIN 30","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"11:30","yes",2,10,"-CIN 30","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"11:24","yes",3,10,"-CIN 30","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"11:13","yes",1,10,"-CIN 25","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"10:41","yes",2,3,"-CIN 32","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"10:11","yes",1,10,"-CIN 36","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"9:38","yes",2,8,"-CIN 38","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"9:09","yes",1,10,"-PIT 40","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"8:31","yes",2,6,"-PIT 36","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"8:27","yes",3,6,"-PIT 36","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"8:16","no",1,10,"-PIT 23","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"7:38","yes",1,10,"-PIT 34","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"7:03","yes",2,7,"-PIT 37","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"6:17","yes",3,4,"-PIT 40","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"6:05","yes",1,10,"-CIN 30","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"5:20","yes",1,10,"-CIN 48","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"4:33","yes",1,10,"-PIT 29","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"4:29","yes",2,10,"-PIT 29","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"3:39","yes",1,10,"-PIT 24","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"3:35","yes",2,10,"-PIT 24","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"2:58","yes",1,10,"-PIT 13","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"2:54","yes",2,10,"-PIT 13","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"2:49","no",1,1,"-PIT 1","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"2:06","yes",2,3,"-PIT 3","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"2:02","yes",3,3,"-PIT 3","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"1:56","yes",4,2,"-PIT 2","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"1:44","yes",2,12,"-PIT 15","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"1:42","no",3,12,"-PIT 15","run","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"1:27","yes",1,10,"-CIN 40","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"1:04","yes",2,1,"-CIN 49","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":46","yes",1,10,"-PIT 40","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":42","yes",2,10,"-PIT 40","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":34","yes",3,1,"-PIT 31","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":27","yes",1,10,"-PIT 17","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":22","yes",2,10,"-PIT 17","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":16","yes",1,10,"-PIT 12","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":13","yes",2,10,"-PIT 12","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":09","yes",1,6,"-PIT 6","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,":04","yes",2,6,"-PIT 6","pass","CIN"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"10:00","no",1,10,"-PIT 25","run","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"9:21","yes",2,8,"-PIT 27","pass","PIT"
"steelers_at_bengals_2022_reg_1","Pittsburgh Steelers",2,"8:37","yes",3,3,"-PIT 32","pass","PIT"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"8:21","yes",1,10,"-CIN 25","pass","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"8:16","no",1,10,"-CIN 37","run","CIN"
"steelers_at_bengals_2022_reg_1","Cincinnati Bengals",2,"7:37","yes",2,11,"-CIN 36","pass","CIN"
