"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"14:54","yes",1,10,"-BUF 2","pass","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"14:49","no",2,10,"-BUF 2","run","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"14:09","yes",3,10,"-BUF 2","pass","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"13:52","yes",1,10,"-PIT 21","pass","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"13:09","yes",2,6,"-PIT 17","run","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"12:51","yes",2,16,"-PIT 27","pass","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"12:07","yes",3,20,"-PIT 31","pass","BUF"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"11:56","no",1,10,"-PIT 39","pass","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"11:19","no",2,9,"-PIT 40","run","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"10:35","yes",3,11,"-PIT 38","pass","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"9:21","yes",1,10,"-BUF 39","run","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"8:39","yes",2,4,"-BUF 33","pass","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"8:35","yes",3,4,"-BUF 33","pass","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"7:53","yes",1,10,"-BUF 25","pass","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"7:11","yes",1,10,"-BUF 13","run","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"6:30","yes",2,7,"-BUF 10","run","PIT"
"steelers_at_bills_2022_reg_5","Pittsburgh Steelers",1,"5:45","yes",3,8,"-BUF 11","pass","PIT"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"5:32","no",1,10,"-BUF 35","run","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"4:57","yes",2,10,"-BUF 35","pass","BUF"
"steelers_at_bills_2022_reg_5","Buffalo Bills",1,"4:29","yes",1,10,"-PIT 34","run","BUF"
