"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"15:00","no",1,10,"-CLV 25","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"14:22","no",2,9,"-CLV 26","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"13:46","yes",1,10,"-CLV 39","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"13:41","yes",2,10,"-CLV 39","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"13:13","yes",3,10,"-CLV 39","pass","CLE"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"13:00","no",1,10,"-PIT 20","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"12:22","no",1,10,"-PIT 33","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"11:47","yes",2,8,"-PIT 35","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"11:17","yes",3,5,"-PIT 38","pass","PIT"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"11:04","no",1,10,"-CLV 23","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"10:31","yes",2,8,"-CLV 25","pass","CLE"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"8:37","no",1,10,"-CLV 48","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"7:57","no",1,10,"-CLV 38","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"7:21","yes",2,6,"-CLV 34","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"6:47","yes",3,8,"-CLV 36","pass","PIT"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"5:55","no",1,10,"-CLV 40","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"5:33","yes",2,9,"-CLV 41","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"5:31","yes",3,9,"-CLV 41","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"5:02","no",4,1,"-CLV 49","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"4:20","yes",1,10,"-PIT 48","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"3:36","no",1,10,"-PIT 12","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",1,"2:57","yes",2,9,"-PIT 11","pass","CLE"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"2:54","no",1,10,"-PIT 25","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"2:14","yes",2,7,"-PIT 28","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"1:52","yes",1,10,"-PIT 39","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"1:32","yes",2,3,"-PIT 46","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,"1:00","yes",1,10,"-CLV 18","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",1,":36","no",2,4,"-CLV 12","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"15:00","yes",1,5,"-CLV 5","run","PIT"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"14:49","yes",1,10,"-CLV 21","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"14:28","yes",2,4,"-CLV 27","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"14:11","yes",3,4,"-CLV 27","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"13:34","no",1,10,"-CLV 40","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"12:57","yes",2,9,"-CLV 41","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"12:54","yes",3,9,"-CLV 41","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"11:42","no",1,10,"-PIT 38","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"11:04","yes",1,10,"-PIT 20","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"10:21","yes",2,9,"-PIT 19","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"9:44","yes",3,3,"-PIT 13","run","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"9:01","yes",1,7,"-PIT 7","pass","CLE"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"8:58","yes",1,10,"-PIT 25","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"8:20","no",2,2,"-PIT 33","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"7:38","no",1,10,"-PIT 36","pass","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"7:11","yes",1,10,"-CLV 48","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"6:31","no",2,6,"-CLV 44","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"6:02","yes",1,10,"-CLV 27","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"5:21","yes",2,9,"-CLV 26","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"4:59","no",1,10,"-CLV 15","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"4:35","no",1,5,"-CLV 5","run","PIT"
"steelers_at_browns_2022_reg_3","Pittsburgh Steelers",2,"3:55","yes",2,1,"-CLV 1","run","PIT"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"3:45","yes",1,10,"-CLV 12","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"3:21","yes",2,4,"-CLV 18","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"2:51","yes",1,10,"-CLV 37","pass","CLE"
"steelers_at_browns_2022_reg_3","Cleveland Browns",2,"2:25","yes",1,10,"-CLV 47","run","CLE"
