"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"15:00","no",1,10,"-PIT 25","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"14:24","yes",2,2,"-PIT 33","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"13:49","no",1,10,"-PIT 44","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"13:11","yes",2,10,"-PIT 44","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"12:31","no",1,10,"-IND 45","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"11:57","yes",2,3,"-IND 38","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"11:20","no",1,10,"-IND 35","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"11:01","yes",1,20,"-IND 45","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"10:21","yes",2,12,"-IND 37","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"9:38","yes",3,2,"-IND 27","pass","PIT"
"steelers_at_colts_2022_reg_12","Indianapolis Colts",1,"9:21","yes",1,10,"-IND 34","pass","IND"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"9:09","yes",1,10,"-IND 38","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"8:34","no",2,8,"-IND 36","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"7:52","yes",3,5,"-IND 33","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"6:32","no",2,15,"-IND 29","run","PIT"
"steelers_at_colts_2022_reg_12","Indianapolis Colts",1,"4:58","yes",1,10,"-IND 20","run","IND"
"steelers_at_colts_2022_reg_12","Indianapolis Colts",1,"4:31","no",2,4,"-IND 26","run","IND"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"3:00","no",1,10,"-PIT 39","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,"2:26","yes",2,8,"-PIT 41","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,":59","yes",1,10,"-IND 36","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",1,":23","yes",2,11,"-IND 37","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",2,"15:00","yes",3,12,"-IND 38","pass","PIT"
"steelers_at_colts_2022_reg_12","Indianapolis Colts",2,"14:03","yes",1,10,"-IND 30","pass","IND"
"steelers_at_colts_2022_reg_12","Indianapolis Colts",2,"13:33","yes",3,4,"-IND 36","pass","IND"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",2,"13:17","no",1,10,"-PIT 21","pass","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",2,"12:50","yes",1,10,"-IND 44","run","PIT"
"steelers_at_colts_2022_reg_12","Pittsburgh Steelers",2,"12:10","no",2,5,"-IND 39","run","PIT"
