"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"14:53","yes",1,15,"-MIA 24","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"14:19","yes",2,19,"-MIA 20","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"13:49","yes",1,10,"-MIA 40","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"13:09","no",1,10,"-PIT 43","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"12:39","no",2,1,"-PIT 34","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"11:58","yes",1,10,"-PIT 33","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"11:32","no",1,10,"-PIT 15","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"10:54","yes",2,3,"-PIT 8","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"10:51","yes",3,3,"-PIT 8","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Pittsburgh Steelers",1,"10:45","no",1,10,"-PIT 25","run","PIT"
"steelers_at_dolphins_2022_reg_7","Pittsburgh Steelers",1,"10:05","no",2,7,"-PIT 28","run","PIT"
"steelers_at_dolphins_2022_reg_7","Pittsburgh Steelers",1,"9:43","yes",3,3,"-PIT 32","pass","PIT"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"9:31","no",1,10,"-MIA 35","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"8:49","yes",2,5,"-MIA 40","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"8:06","no",1,10,"-PIT 35","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"7:22","yes",1,10,"-PIT 23","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"6:47","no",1,10,"-PIT 12","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"6:24","no",2,9,"-PIT 11","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"5:42","yes",3,4,"-PIT 6","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Pittsburgh Steelers",1,"5:32","no",1,10,"-PIT 25","pass","PIT"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"4:39","yes",1,10,"-MIA 47","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"4:08","no",2,1,"-PIT 44","run","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"3:27","yes",1,10,"-PIT 41","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"2:45","yes",1,10,"-PIT 23","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"2:42","yes",2,10,"-PIT 23","pass","MIA"
"steelers_at_dolphins_2022_reg_7","Miami Dolphins",1,"2:38","yes",3,10,"-PIT 23","pass","MIA"
