"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"15:00","no",1,10,"-PIT 25","run","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"14:33","yes",2,10,"-PIT 25","run","PIT"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"13:09","yes",1,10,"-PHI 32","pass","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"13:04","yes",2,10,"-PHI 32","pass","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"12:37","no",3,1,"-PHI 41","run","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"11:59","no",1,10,"-PHI 48","run","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"11:38","yes",2,9,"-PHI 49","pass","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"11:33","yes",3,9,"-PHI 49","pass","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"10:51","yes",4,2,"-PIT 44","pass","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"10:13","yes",1,10,"-PIT 39","pass","PHI"
"steelers_at_eagles_2022_reg_8","Philadelphia Eagles",1,"9:31","yes",2,10,"-PIT 39","pass","PHI"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"9:23","no",1,10,"-PIT 25","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"8:49","yes",2,5,"-PIT 30","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"8:16","yes",2,10,"-PIT 25","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"7:40","yes",1,10,"-PIT 39","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"7:14","yes",2,2,"-PIT 47","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"6:58","yes",1,15,"-PIT 42","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"6:17","yes",2,13,"-PIT 44","run","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"5:51","no",3,1,"-PHI 44","run","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"5:13","no",1,10,"-PHI 42","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"4:39","yes",2,7,"-PHI 39","pass","PIT"
"steelers_at_eagles_2022_reg_8","Pittsburgh Steelers",1,"3:56","yes",1,10,"-PHI 18","run","PIT"
