"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"15:00","no",1,10,"-PIT 25","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"14:25","no",2,4,"-PIT 31","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"13:47","no",3,1,"-PIT 34","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"13:10","yes",1,10,"-PIT 38","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"12:32","no",2,3,"-PIT 45","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"12:27","yes",3,3,"-PIT 45","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"10:54","yes",3,8,"-ATL 43","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"10:12","no",1,10,"-ATL 34","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"9:34","no",2,6,"-ATL 30","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"9:07","no",3,1,"-ATL 25","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"8:28","yes",1,10,"-ATL 23","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"7:47","yes",2,15,"-ATL 28","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"7:42","yes",3,15,"-ATL 28","pass","PIT"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"7:28","no",1,10,"-ATL 21","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"6:46","yes",1,10,"-ATL 32","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"6:08","yes",2,7,"-ATL 35","run","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"5:33","yes",1,10,"-ATL 42","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"5:28","yes",2,10,"-ATL 42","run","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"5:04","yes",2,15,"-ATL 37","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",1,"4:59","yes",3,20,"-ATL 32","pass","ATL"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"3:57","no",1,10,"-PIT 14","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"3:10","no",2,1,"-PIT 23","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"2:23","no",1,10,"-PIT 28","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"1:50","yes",2,7,"-PIT 31","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,"1:21","no",1,10,"-PIT 41","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,":43","yes",2,6,"-PIT 45","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",1,":10","no",1,10,"-ATL 46","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"15:00","no",2,4,"-ATL 40","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"14:27","no",1,10,"-ATL 27","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"13:48","yes",2,11,"-ATL 28","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"13:43","yes",3,11,"-ATL 28","pass","PIT"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"13:27","yes",1,10,"-ATL 26","run","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"12:50","yes",1,10,"-ATL 46","run","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"12:12","yes",2,7,"-ATL 49","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"11:33","yes",1,10,"-PIT 35","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"10:50","yes",1,10,"-PIT 22","run","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"10:09","yes",2,13,"-PIT 25","pass","ATL"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"9:15","yes",1,10,"-PIT 25","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"9:09","no",2,10,"-PIT 25","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"8:26","yes",3,4,"-PIT 31","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"7:12","yes",1,15,"-ATL 17","pass","PIT"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"7:06","no",1,10,"-ATL 25","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"6:48","yes",1,10,"-PIT 38","run","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"6:05","yes",2,14,"-PIT 42","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"5:55","yes",3,14,"-PIT 42","pass","ATL"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"5:05","no",1,10,"-PIT 25","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"4:33","yes",1,10,"-PIT 45","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"3:50","no",2,4,"-ATL 49","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"3:12","no",1,10,"-ATL 44","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"2:32","yes",2,5,"-ATL 39","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"2:00","yes",1,10,"-ATL 33","run","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"1:53","yes",2,7,"-ATL 30","pass","PIT"
"steelers_at_falcons_2022_reg_13","Pittsburgh Steelers",2,"1:45","yes",3,7,"-ATL 30","pass","PIT"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"1:29","yes",1,10,"-ATL 25","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,"1:10","yes",1,10,"-ATL 36","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,":52","yes",1,10,"-ATL 46","pass","ATL"
"steelers_at_falcons_2022_reg_13","Atlanta Falcons",2,":49","yes",2,10,"-ATL 46","pass","ATL"
