"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"15:00","no",1,10,"-CAR 25","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"14:25","yes",2,11,"-CAR 24","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"13:45","yes",3,8,"-CAR 27","pass","CAR"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"12:54","no",1,10,"-PIT 33","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"12:16","no",2,7,"-PIT 36","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"11:30","yes",3,6,"-PIT 37","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"10:50","no",1,10,"-PIT 45","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"10:10","yes",2,7,"-PIT 48","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"9:27","yes",1,10,"-CAR 42","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"8:47","no",2,7,"-CAR 39","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"8:08","yes",1,10,"-CAR 31","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"7:29","yes",2,6,"-CAR 27","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"6:46","no",3,1,"-CAR 22","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"6:09","yes",1,10,"-CAR 18","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",1,"5:53","no",1,7,"-CAR 7","run","PIT"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"5:42","no",1,10,"-CAR 15","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"5:09","no",1,10,"-CAR 28","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"4:24","no",2,11,"-CAR 27","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"3:43","yes",3,11,"-CAR 27","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"3:00","no",1,10,"-CAR 41","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"2:24","no",1,10,"-PIT 44","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"1:45","no",2,8,"-PIT 42","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"1:16","yes",2,13,"-PIT 47","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,"1:10","yes",3,13,"-PIT 47","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",1,":21","no",1,7,"-PIT 7","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"15:00","yes",2,8,"-PIT 8","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"14:19","yes",3,5,"-PIT 5","pass","CAR"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"14:12","no",1,10,"-PIT 25","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"13:30","no",2,6,"-PIT 29","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"12:47","no",3,1,"-PIT 34","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"12:08","no",1,10,"-PIT 38","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"11:28","no",2,3,"-PIT 45","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"10:12","yes",3,4,"-PIT 44","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"9:42","no",1,10,"-CAR 18","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"9:21","no",2,1,"-CAR 9","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"8:58","no",1,7,"-CAR 7","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"8:24","no",2,2,"-CAR 2","run","PIT"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"8:20","no",1,10,"-CAR 25","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"7:40","no",2,7,"-CAR 28","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"6:35","yes",3,8,"-CAR 27","pass","CAR"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"6:20","yes",1,10,"-PIT 30","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"5:37","yes",2,9,"-PIT 31","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"4:54","yes",3,5,"-PIT 35","pass","PIT"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"4:42","no",1,10,"-CAR 27","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"4:35","yes",2,10,"-CAR 27","pass","CAR"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"3:36","yes",1,10,"-PIT 33","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"2:54","yes",2,9,"-PIT 34","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"2:15","no",1,10,"-PIT 49","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"2:00","yes",2,13,"-PIT 46","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"1:39","yes",3,3,"-CAR 44","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"1:27","yes",1,10,"-CAR 20","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"1:22","yes",2,8,"-CAR 22","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,":58","yes",3,2,"-CAR 28","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,":42","no",1,10,"-PIT 9","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"14:55","yes",1,10,"-PIT 9","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"14:16","no",2,3,"-PIT 16","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"13:34","yes",3,2,"-PIT 17","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"12:48","no",1,10,"-PIT 19","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"12:07","yes",2,10,"-PIT 19","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"12:03","yes",3,10,"-PIT 19","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"11:30","yes",1,10,"-PIT 31","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"10:48","no",2,10,"-PIT 31","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"10:27","no",3,1,"-PIT 40","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"9:45","no",1,10,"-CAR 38","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"9:03","yes",2,9,"-CAR 37","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"8:34","yes",1,10,"-CAR 19","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"7:55","yes",2,8,"-CAR 17","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"7:13","yes",3,6,"-CAR 15","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"6:38","yes",1,10,"-CAR 22","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"5:56","yes",2,10,"-CAR 22","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"5:20","no",3,1,"-CAR 13","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"4:40","no",1,10,"-CAR 11","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"4:17","no",2,1,"-CAR 2","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"3:52","no",1,1,"-CAR 1","run","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",2,"3:20","no",2,1,"-CAR 1","run","PIT"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"3:17","no",1,10,"-CAR 25","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"2:36","yes",2,12,"-CAR 23","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",2,"1:50","no",1,10,"-PIT 32","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"15:00","yes",1,10,"-PIT 34","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"14:20","yes",2,5,"-PIT 29","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"13:35","yes",1,10,"-PIT 12","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"12:59","no",2,8,"-PIT 10","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"12:51","yes",3,8,"-PIT 10","run","CAR"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",3,"11:52","no",1,10,"-PIT 25","pass","PIT"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",3,"11:46","no",2,10,"-PIT 25","run","PIT"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"9:58","yes",1,5,"-CAR 32","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"9:54","yes",2,5,"-CAR 32","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"9:35","yes",1,10,"-CAR 45","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"8:36","no",1,10,"-PIT 31","pass","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"8:30","no",1,4,"-PIT 4","run","CAR"
"steelers_at_panthers_2022_reg_15","Carolina Panthers",3,"7:52","no",2,2,"-PIT 2","run","CAR"
"steelers_at_panthers_2022_reg_15","Pittsburgh Steelers",3,"6:15","no",1,10,"-PIT 25","run","PIT"
