"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"15:00","no",1,10,"-PIT 25","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"14:26","yes",2,7,"-PIT 28","pass","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"13:52","no",3,1,"-PIT 34","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"13:13","no",1,10,"-PIT 37","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"12:36","yes",2,4,"-PIT 43","pass","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"11:54","yes",3,2,"-PIT 45","pass","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"11:16","no",1,10,"-BLT 45","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"10:37","no",2,9,"-BLT 44","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"10:00","no",1,10,"-BLT 13","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"9:24","no",2,7,"-BLT 10","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"9:07","no",3,1,"-BLT 4","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"7:58","yes",1,7,"-BLT 7","pass","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"7:52","no",2,7,"-BLT 7","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",1,"7:07","yes",3,2,"-BLT 2","pass","PIT"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"6:56","yes",1,10,"-BLT 27","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"6:20","yes",2,7,"-BLT 30","pass","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"5:38","yes",1,10,"-BLT 37","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"4:58","yes",2,10,"-BLT 37","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"4:17","no",1,10,"-BLT 47","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"3:35","no",2,10,"-BLT 47","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"2:29","no",1,10,"-PIT 43","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"1:52","yes",2,8,"-PIT 41","pass","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"1:49","yes",3,8,"-PIT 41","pass","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,"1:03","yes",1,10,"-PIT 32","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",1,":20","yes",1,10,"-PIT 17","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",2,"15:00","yes",2,6,"-PIT 13","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",2,"14:17","yes",3,5,"-PIT 12","pass","BAL"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"14:09","no",1,10,"-PIT 25","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"13:38","no",2,1,"-PIT 34","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"12:18","yes",2,17,"-PIT 32","pass","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"11:36","yes",3,3,"-PIT 46","pass","PIT"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",2,"10:50","yes",1,10,"-BLT 6","run","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",2,"10:10","yes",2,10,"-BLT 6","pass","BAL"
"steelers_at_ravens_2022_reg_17","Baltimore Ravens",2,"9:29","yes",3,1,"-BLT 15","run","BAL"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"8:46","yes",1,10,"-PIT 26","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"8:10","no",2,5,"-PIT 31","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"7:39","no",1,10,"-PIT 37","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"7:01","no",2,4,"-PIT 43","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"6:23","yes",1,10,"-PIT 48","pass","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"6:14","no",2,10,"-PIT 48","run","PIT"
"steelers_at_ravens_2022_reg_17","Pittsburgh Steelers",2,"5:36","yes",3,5,"-BLT 47","pass","PIT"
