"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"15:00","no",1,10,"-CHI 25","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"14:25","no",2,11,"-CHI 24","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"13:51","yes",1,10,"-CHI 35","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"13:49","no",2,10,"-CHI 35","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"13:08","yes",3,9,"-CHI 36","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"12:22","no",1,10,"-HST 35","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"12:16","no",2,10,"-HST 35","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"12:10","yes",3,10,"-HST 35","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",1,"11:22","no",1,10,"-HST 25","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"10:42","no",2,6,"-HST 29","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"10:15","yes",3,4,"-HST 31","pass","HOU"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"10:01","no",1,10,"-CHI 19","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"9:24","no",1,10,"-HST 40","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"8:44","no",2,5,"-HST 35","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"8:40","no",2,5,"-HST 35","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"8:04","yes",1,10,"-HST 27","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"7:28","yes",2,5,"-HST 22","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"6:53","no",1,10,"-HST 11","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",1,"6:45","yes",1,10,"-HST 25","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"6:16","no",2,7,"-HST 28","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"6:11","yes",3,7,"-HST 28","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"5:00","no",2,1,"-CHI 11","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"4:25","no",1,6,"-CHI 6","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"3:45","no",2,4,"-CHI 4","pass","HOU"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"3:33","yes",1,10,"-CHI 20","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",1,"2:54","yes",2,11,"-CHI 19","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"2:46","no",1,10,"-CHI 41","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"2:08","no",1,10,"-CHI 24","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"1:31","no",1,5,"-CHI 5","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,":51","yes",2,7,"-CHI 7","pass","HOU"
"texans_at_bears_2022_reg_3","Chicago Bears",1,":45","yes",1,15,"-CHI 15","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"14:18","yes",3,17,"-CHI 13","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",1,"13:39","no",1,10,"-HST 31","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"13:06","no",2,6,"-HST 35","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"13:01","yes",3,6,"-HST 35","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"12:40","no",1,10,"-HST 40","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"12:35","yes",2,10,"-HST 40","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"11:59","yes",3,6,"-HST 44","pass","HOU"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"11:47","yes",1,10,"-CHI 10","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"11:11","no",2,9,"-CHI 11","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"10:30","yes",3,6,"-CHI 14","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",1,"9:39","no",1,10,"-CHI 41","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"9:03","no",1,10,"-CHI 17","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"8:23","yes",2,1,"-CHI 8","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"7:37","no",1,1,"-CHI 1","run","HOU"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"7:26","yes",1,10,"-CHI 18","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"7:21","no",2,10,"-CHI 18","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"6:33","yes",3,4,"-CHI 24","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"5:54","no",1,10,"-CHI 31","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"5:19","yes",2,3,"-CHI 38","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"4:43","yes",1,10,"-CHI 44","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"4:38","no",2,10,"-CHI 44","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"4:06","yes",3,5,"-CHI 49","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"3:26","yes",1,10,"-HST 27","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"2:48","no",2,8,"-HST 25","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",1,"1:48","yes",1,10,"-HST 25","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"1:22","yes",2,8,"-HST 27","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",1,"1:17","yes",3,1,"-HST 34","pass","HOU"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"1:04","yes",1,10,"-CHI 10","pass","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,"1:01","yes",2,10,"-CHI 10","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,":54","yes",2,12,"-CHI 8","run","CHI"
"texans_at_bears_2022_reg_3","Chicago Bears",1,":46","no",3,1,"-CHI 19","run","CHI"
"texans_at_bears_2022_reg_3","Houston Texans",2,"15:00","no",1,10,"-HST 25","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",2,"14:32","no",1,10,"-HST 37","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",2,"13:50","no",1,10,"-CHI 38","run","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",2,"13:17","no",2,6,"-CHI 34","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",2,"13:12","no",1,10,"-CHI 29","pass","HOU"
"texans_at_bears_2022_reg_3","Houston Texans",2,"13:08","no",2,10,"-CHI 29","run","HOU"
