"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"15:00","no",1,10,"-HST 25","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"14:57","yes",2,10,"-HST 25","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"14:20","no",3,2,"-HST 33","run","HOU"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"13:29","no",1,10,"-DEN 8","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"12:59","no",2,1,"-DEN 17","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"12:55","no",1,10,"-DEN 27","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"12:24","no",2,5,"-DEN 32","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"11:47","no",1,10,"-HST 47","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"11:03","no",2,11,"-HST 48","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"10:58","yes",3,11,"-HST 48","pass","DEN"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"10:46","yes",1,10,"-HST 20","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"10:26","yes",2,5,"-HST 25","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"9:52","yes",3,4,"-HST 26","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"9:23","yes",1,10,"-HST 31","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"9:19","yes",2,10,"-HST 31","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"8:40","no",3,1,"-HST 40","run","HOU"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"7:48","yes",1,10,"-DEN 35","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"7:09","no",1,10,"-DEN 46","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"6:44","no",1,1,"-HST 45","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"6:01","no",1,10,"-HST 44","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"5:53","no",2,10,"-HST 44","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"5:43","no",2,2,"-HST 2","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"5:40","yes",3,2,"-HST 2","pass","DEN"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"5:24","yes",1,10,"-HST 24","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"4:48","no",1,10,"-HST 36","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"4:43","yes",2,10,"-HST 36","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"4:16","no",1,10,"-DEN 46","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"3:51","no",2,3,"-DEN 39","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"3:13","yes",3,1,"-DEN 37","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"2:38","no",1,10,"-DEN 27","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",1,"2:28","yes",3,5,"-DEN 22","pass","HOU"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"2:19","no",1,10,"-DEN 25","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"2:16","no",2,10,"-DEN 25","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"1:06","no",3,1,"-DEN 34","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,"1:00","no",1,10,"-DEN 40","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",1,":28","no",2,6,"-DEN 44","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"15:00","no",3,1,"-DEN 49","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"14:21","no",1,10,"-HST 49","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"13:31","yes",3,16,"-DEN 45","pass","DEN"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"12:52","yes",1,10,"-HST 20","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"12:20","yes",2,2,"-HST 28","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"11:40","no",1,10,"-HST 32","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"11:04","no",2,3,"-HST 39","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"10:22","yes",1,10,"-HST 46","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"9:05","yes",1,10,"-DEN 25","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"8:36","yes",1,20,"-DEN 35","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"8:09","yes",2,16,"-DEN 31","pass","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"8:04","yes",3,16,"-DEN 31","pass","HOU"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"7:15","yes",1,10,"-DEN 18","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"7:11","no",2,10,"-DEN 18","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"6:38","no",1,10,"-DEN 28","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"5:58","no",2,6,"-DEN 32","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"5:54","yes",3,6,"-DEN 32","pass","DEN"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"5:38","yes",1,10,"-HST 33","run","HOU"
"texans_at_broncos_2022_reg_2","Houston Texans",2,"5:04","yes",2,5,"-HST 38","pass","HOU"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"4:04","no",1,10,"-DEN 24","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"3:25","no",2,1,"-DEN 33","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"3:19","no",1,10,"-DEN 45","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"2:33","no",2,22,"-DEN 33","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"1:51","yes",1,10,"-HST 16","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"1:08","yes",1,5,"-HST 5","pass","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,"1:03","no",2,5,"-HST 5","run","DEN"
"texans_at_broncos_2022_reg_2","Denver Broncos",2,":29","yes",3,1,"-HST 1","pass","DEN"
"texans_at_broncos_2022_reg_2","Houston Texans",2,":20","no",1,10,"-HST 25","run","HOU"
"texans_at_broncos_2022_reg_2","Denver Broncos",3,"15:00","no",1,10,"-DEN 25","run","DEN"
