"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"14:55","no",1,10,"-DAL 24","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"14:22","no",2,2,"-DAL 32","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"14:16","yes",3,2,"-DAL 32","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"13:46","no",1,10,"-DAL 45","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"13:24","no",1,10,"-HST 44","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"13:18","no",2,10,"-HST 44","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"12:45","no",3,3,"-HST 37","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"12:05","no",1,10,"-HST 12","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"11:25","yes",2,9,"-HST 11","run","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"11:20","no",1,10,"-HST 25","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"10:39","no",2,10,"-HST 25","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"9:57","yes",3,8,"-HST 27","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"9:01","yes",1,10,"-DAL 24","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"8:23","no",2,7,"-DAL 21","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"7:36","yes",3,2,"-DAL 16","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"6:49","no",1,8,"-DAL 8","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"6:07","yes",2,5,"-DAL 5","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"5:47","no",3,1,"-DAL 1","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"5:36","no",3,1,"-DAL 1","run","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"5:33","no",1,10,"-DAL 25","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"4:53","no",2,10,"-DAL 25","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",1,"4:20","yes",3,13,"-DAL 22","pass","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"3:27","yes",1,10,"-HST 28","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"2:16","yes",1,10,"-DAL 27","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,"1:38","yes",2,8,"-DAL 25","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",1,":18","yes",1,10,"-DAL 25","pass","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"15:00","yes",2,12,"-DAL 23","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"14:56","yes",3,12,"-DAL 23","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"14:37","yes",1,10,"-HST 26","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"14:00","no",2,7,"-HST 23","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"13:09","no",1,10,"-HST 10","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"12:34","yes",2,10,"-HST 10","pass","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"12:28","no",1,10,"-HST 25","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"11:49","yes",2,8,"-HST 27","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"11:07","yes",3,3,"-HST 32","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"10:28","no",1,10,"-HST 36","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"9:50","yes",2,7,"-HST 39","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"9:09","yes",3,2,"-HST 44","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"8:32","yes",1,10,"-DAL 49","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"7:52","no",2,3,"-DAL 42","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"7:07","no",3,3,"-DAL 42","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"6:22","yes",4,3,"-DAL 42","run","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"6:13","no",1,10,"-DAL 40","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"5:36","no",2,10,"-DAL 40","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"5:28","yes",3,10,"-DAL 40","pass","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"4:36","no",1,10,"-HST 21","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"4:01","no",2,8,"-HST 23","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"3:57","yes",3,8,"-HST 23","pass","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"3:42","no",1,10,"-DAL 36","run","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"3:12","yes",1,15,"-DAL 32","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"2:30","yes",2,11,"-DAL 28","pass","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"2:23","yes",1,10,"-DAL 25","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"2:00","yes",2,3,"-DAL 32","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"1:56","yes",1,10,"-DAL 40","pass","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",2,"1:36","yes",2,3,"-DAL 47","pass","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"1:26","yes",2,10,"-HST 37","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,"1:21","yes",3,10,"-HST 37","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":57","yes",1,10,"-HST 15","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":49","yes",3,10,"-HST 15","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":40","yes",1,10,"-HST 25","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":34","yes",1,10,"-HST 43","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":29","yes",2,6,"-HST 47","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":23","yes",1,10,"-DAL 46","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",2,":19","yes",1,5,"-DAL 41","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"15:00","yes",1,10,"-HST 25","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"14:32","yes",2,9,"-HST 26","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"13:55","yes",3,6,"-HST 29","pass","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"12:59","no",1,10,"-HST 28","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"12:38","no",2,5,"-HST 23","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"12:06","no",1,10,"-HST 18","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"11:30","no",2,4,"-HST 12","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"10:22","no",1,8,"-HST 8","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"9:39","no",2,7,"-HST 7","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"9:00","yes",3,3,"-HST 3","run","DAL"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"8:23","no",4,1,"-HST 1","run","DAL"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"8:19","no",1,10,"-HST 2","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"7:53","no",2,6,"-HST 6","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"7:12","no",1,10,"-HST 16","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"6:26","yes",1,10,"-HST 40","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"5:46","yes",2,6,"-HST 44","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"5:42","yes",3,6,"-HST 44","pass","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"5:09","no",1,10,"-DAL 42","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"4:26","yes",2,14,"-DAL 46","run","HOU"
"texans_at_cowboys_2022_reg_14","Houston Texans",3,"3:42","yes",3,9,"-DAL 41","pass","HOU"
"texans_at_cowboys_2022_reg_14","Dallas Cowboys",3,"3:03","no",1,10,"-DAL 25","pass","DAL"
