"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"15:00","yes",1,10,"-HST 25","run","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"14:22","no",2,9,"-HST 26","run","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"13:42","yes",3,6,"-HST 29","pass","HOU"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"13:22","no",1,10,"-MIA 34","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"12:59","yes",1,10,"-MIA 45","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"12:22","no",1,10,"-HST 42","run","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"11:47","yes",2,7,"-HST 39","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"11:42","yes",3,7,"-HST 39","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"11:02","no",1,10,"-HST 17","run","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"10:37","yes",1,20,"-HST 27","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"10:33","yes",2,20,"-HST 27","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"10:30","yes",3,20,"-HST 27","pass","MIA"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"10:14","yes",1,10,"-HST 10","pass","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"9:41","no",1,10,"-HST 21","run","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"9:06","yes",2,9,"-HST 22","pass","HOU"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"7:41","yes",1,10,"-MIA 41","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"7:03","no",1,10,"-HST 35","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"6:21","no",1,10,"-HST 21","run","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"5:45","no",2,10,"-HST 21","run","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"5:01","yes",3,5,"-HST 16","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"4:19","yes",4,1,"-HST 12","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"3:39","no",1,3,"-HST 3","run","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"3:06","yes",2,4,"-HST 4","pass","MIA"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"2:57","no",1,10,"-HST 25","pass","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"2:51","no",2,10,"-HST 25","pass","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"2:01","no",1,10,"-HST 39","pass","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"1:56","yes",2,10,"-HST 39","pass","HOU"
"texans_at_dolphins_2022_reg_12","Houston Texans",1,"1:19","yes",3,6,"-HST 43","pass","HOU"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,"1:06","no",1,10,"-MIA 9","run","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",1,":28","no",2,10,"-MIA 9","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",2,"15:00","yes",1,10,"-MIA 38","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",2,"14:25","yes",2,10,"-MIA 38","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",2,"13:41","yes",1,10,"-MIA 49","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",2,"13:36","yes",2,10,"-MIA 49","pass","MIA"
"texans_at_dolphins_2022_reg_12","Miami Dolphins",2,"13:31","yes",3,10,"-MIA 49","pass","MIA"
