"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_giants_2022_reg_10","Houston Texans",1,"14:54","no",1,10,"-HST 38","pass","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"14:51","yes",2,10,"-HST 38","run","HOU"
"texans_at_giants_2022_reg_10","New York Giants",1,"13:13","no",1,10,"-NYG 32","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"12:46","no",2,7,"-NYG 35","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"12:10","yes",3,2,"-NYG 40","pass","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"11:48","no",1,10,"-NYG 49","pass","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"11:28","no",2,2,"-HST 43","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"10:44","no",3,1,"-HST 42","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"10:05","no",1,10,"-HST 40","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"9:33","no",2,12,"-HST 42","pass","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"8:49","no",1,6,"-HST 6","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"8:37","no",1,11,"-HST 11","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"7:57","no",2,9,"-HST 9","pass","NYG"
"texans_at_giants_2022_reg_10","Houston Texans",1,"7:51","no",1,10,"-HST 25","run","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"7:11","no",2,10,"-HST 25","pass","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"6:27","yes",3,4,"-HST 31","pass","HOU"
"texans_at_giants_2022_reg_10","New York Giants",1,"6:14","no",1,10,"-NYG 24","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"5:52","no",2,9,"-NYG 25","pass","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"5:46","yes",3,9,"-NYG 25","run","NYG"
"texans_at_giants_2022_reg_10","Houston Texans",1,"4:55","yes",1,10,"-HST 20","pass","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"4:52","no",2,10,"-HST 20","run","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"4:07","yes",3,10,"-HST 20","pass","HOU"
"texans_at_giants_2022_reg_10","New York Giants",1,"3:26","no",1,10,"-NYG 30","pass","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"3:22","no",2,10,"-NYG 30","pass","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"2:53","no",1,10,"-NYG 45","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"2:21","no",2,6,"-NYG 49","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"1:43","yes",1,10,"-HST 45","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"1:17","no",2,8,"-HST 43","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,":46","yes",3,2,"-HST 37","run","NYG"
"texans_at_giants_2022_reg_10","Houston Texans",1,"14:53","no",1,10,"-HST 20","run","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"14:18","no",1,10,"-HST 32","run","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"13:39","yes",2,5,"-HST 37","run","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"12:58","yes",1,10,"-NYG 19","pass","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"12:18","yes",2,9,"-NYG 18","run","HOU"
"texans_at_giants_2022_reg_10","Houston Texans",1,"11:37","yes",3,10,"-NYG 19","pass","HOU"
"texans_at_giants_2022_reg_10","New York Giants",1,"11:27","no",1,10,"-NYG 25","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"10:50","yes",2,6,"-NYG 29","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"10:09","no",1,10,"-HST 44","run","NYG"
"texans_at_giants_2022_reg_10","New York Giants",1,"9:42","no",2,2,"-HST 36","run","NYG"
