"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"15:00","no",1,10,"-HST 25","pass","HOU"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"14:56","yes",2,10,"-HST 25","pass","HOU"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"14:14","yes",3,6,"-HST 29","pass","HOU"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"13:58","no",1,10,"-JAX 20","run","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"13:22","yes",2,10,"-JAX 20","pass","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"12:39","yes",3,9,"-JAX 21","pass","JAX"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"12:21","no",1,10,"-HST 31","pass","HOU"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"11:46","no",1,10,"-HST 47","run","HOU"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"11:08","yes",2,10,"-HST 47","run","HOU"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"10:26","yes",3,5,"-JAX 48","pass","HOU"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"10:13","no",1,10,"-JAX 3","run","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"9:31","no",2,8,"-JAX 5","run","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"8:59","yes",1,10,"-JAX 23","run","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"8:31","yes",1,10,"-HST 47","pass","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"7:56","no",2,8,"-HST 45","pass","JAX"
"texans_at_jaguars_2022_reg_5","Jacksonville Jaguars",1,"7:51","yes",3,8,"-HST 45","pass","JAX"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"7:10","no",1,10,"-HST 4","pass","HOU"
"texans_at_jaguars_2022_reg_5","Houston Texans",1,"6:24","no",1,10,"-HST 24","run","HOU"
