"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"14:57","no",1,10,"-TEN 27","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"14:22","no",2,8,"-TEN 29","pass","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",1,"12:55","no",1,10,"-HST 26","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"12:16","yes",2,8,"-HST 28","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"12:12","yes",3,8,"-HST 28","pass","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"11:57","no",1,10,"-TEN 40","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"11:16","no",2,5,"-TEN 45","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"10:18","yes",3,10,"-TEN 40","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"9:37","no",4,1,"-TEN 49","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"8:58","yes",1,10,"-HST 48","run","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",1,"8:48","yes",1,10,"-HST 25","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"8:07","yes",2,5,"-HST 30","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"7:23","yes",3,3,"-HST 32","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"6:44","yes",1,10,"-HST 36","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"6:15","no",2,7,"-HST 39","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"5:28","yes",1,10,"-TEN 46","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"4:52","yes",2,6,"-TEN 42","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"4:10","no",3,2,"-TEN 38","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"3:27","no",1,8,"-TEN 8","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",1,"2:49","yes",2,6,"-TEN 6","pass","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"2:30","no",1,10,"-TEN 25","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"2:04","no",1,20,"-TEN 15","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",1,"1:29","no",2,7,"-TEN 28","run","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",2,"15:00","yes",1,10,"-HST 41","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"14:55","yes",1,5,"-HST 46","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"14:20","no",2,7,"-HST 44","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"13:34","yes",1,10,"-TEN 49","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"12:58","yes",2,7,"-TEN 46","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"12:12","no",1,10,"-TEN 33","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"12:06","yes",1,20,"-TEN 43","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"11:18","yes",2,8,"-TEN 31","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"10:36","yes",3,3,"-TEN 26","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"9:51","yes",1,10,"-TEN 23","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"9:07","no",2,4,"-TEN 17","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"8:25","yes",1,10,"-TEN 12","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"7:42","yes",2,7,"-TEN 9","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"7:36","yes",3,7,"-TEN 9","pass","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"6:45","yes",1,10,"-TEN 27","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"6:19","yes",1,5,"-TEN 32","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"5:40","no",1,10,"-TEN 39","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"4:59","yes",2,14,"-TEN 35","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"4:23","yes",3,4,"-TEN 45","run","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",2,"3:53","no",1,10,"-HST 23","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"3:18","no",2,8,"-HST 25","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"2:35","yes",3,11,"-HST 22","pass","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"2:20","no",1,10,"-TEN 25","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"2:00","yes",2,8,"-TEN 27","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:54","yes",1,10,"-TEN 37","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:51","no",2,10,"-TEN 37","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:32","yes",1,10,"-TEN 47","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:30","yes",2,10,"-TEN 47","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:11","yes",3,1,"-HST 44","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:06","no",1,10,"-HST 42","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,":45","yes",2,13,"-HST 45","pass","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",2,":09","no",1,10,"-HST 9","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"14:54","yes",1,10,"-HST 28","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"14:51","no",2,10,"-HST 28","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"14:43","yes",3,10,"-HST 28","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"14:00","yes",1,10,"-HST 44","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"13:55","yes",2,10,"-HST 44","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"13:14","yes",3,2,"-TEN 48","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"12:30","yes",4,1,"-TEN 47","run","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"12:25","yes",1,10,"-TEN 48","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"11:45","yes",2,11,"-TEN 47","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"11:02","no",1,10,"-HST 41","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"10:22","no",2,4,"-HST 35","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"9:41","no",1,10,"-HST 20","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"8:59","yes",2,4,"-HST 14","run","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",2,"8:45","no",1,10,"-HST 37","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"8:09","no",2,9,"-HST 38","run","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"7:01","no",1,10,"-HST 40","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"6:23","no",2,8,"-HST 38","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"6:14","yes",3,8,"-HST 38","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"6:10","yes",4,8,"-HST 38","pass","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",2,"6:06","yes",1,10,"-HST 38","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"5:23","yes",2,7,"-HST 41","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"4:40","yes",3,10,"-HST 38","pass","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"3:55","no",1,10,"-TEN 10","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"3:22","yes",2,8,"-TEN 12","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"2:38","yes",3,6,"-TEN 14","pass","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",2,"1:41","no",1,10,"-HST 31","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"1:35","yes",2,10,"-HST 31","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",2,"1:29","yes",3,10,"-HST 31","pass","HOU"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,"1:15","yes",1,10,"-TEN 31","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",2,":38","no",1,10,"-TEN 45","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",3,"15:00","yes",2,6,"-TEN 49","pass","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",3,"14:31","no",3,1,"-HST 46","run","TEN"
"texans_at_titans_2022_reg_16","Tennessee Titans",3,"13:53","no",1,10,"-HST 44","run","TEN"
"texans_at_titans_2022_reg_16","Houston Texans",3,"13:44","no",1,10,"-HST 42","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",3,"13:14","no",1,5,"-HST 47","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",3,"12:33","yes",2,5,"-HST 47","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",3,"11:49","yes",1,10,"-TEN 35","pass","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",3,"11:16","no",2,6,"-TEN 31","run","HOU"
"texans_at_titans_2022_reg_16","Houston Texans",3,"10:45","yes",1,10,"-TEN 23","pass","HOU"
