"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"15:00","yes",1,10,"-BUF 25","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"14:21","no",2,6,"-BUF 29","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"13:35","no",1,10,"-BUF 45","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"12:36","yes",3,9,"-BUF 46","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"11:55","yes",1,10,"-TEN 44","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"11:50","no",2,10,"-TEN 44","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"11:14","yes",3,8,"-TEN 42","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"10:37","yes",1,10,"-TEN 31","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"10:01","yes",2,2,"-TEN 23","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"9:56","yes",3,2,"-TEN 23","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"9:16","no",1,10,"-TEN 11","pass","BUF"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"8:43","yes",1,10,"-TEN 39","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"7:59","yes",2,8,"-TEN 41","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"7:44","no",1,10,"-BUF 39","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"7:02","no",2,1,"-BUF 30","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"6:36","yes",1,10,"-BUF 11","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"6:32","no",2,10,"-BUF 11","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"5:27","yes",4,1,"-BUF 2","run","TEN"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"5:23","no",1,10,"-BUF 25","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"4:45","no",1,10,"-BUF 41","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"4:08","no",2,10,"-BUF 41","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"3:24","yes",3,4,"-BUF 47","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"3:18","no",1,10,"-TEN 40","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"2:40","yes",2,10,"-TEN 40","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"2:10","yes",3,1,"-TEN 31","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"1:25","yes",4,1,"-TEN 31","pass","BUF"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"1:18","yes",1,10,"-TEN 31","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,":41","yes",2,6,"-TEN 35","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,":36","no",3,1,"-TEN 40","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"14:18","no",2,18,"-TEN 34","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"13:34","yes",3,14,"-TEN 38","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"12:57","no",1,10,"-BUF 46","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"12:15","no",2,11,"-BUF 47","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"11:45","yes",2,26,"-TEN 38","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"11:04","yes",3,22,"-TEN 42","pass","TEN"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"9:54","no",1,10,"-BUF 18","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"9:27","yes",1,10,"-BUF 46","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"8:41","yes",1,10,"-TEN 40","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"8:11","yes",2,7,"-TEN 32","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"7:29","no",3,1,"-TEN 26","pass","BUF"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"7:20","no",1,10,"-TEN 25","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"6:43","no",2,6,"-TEN 29","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"5:59","yes",3,10,"-TEN 25","pass","TEN"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"5:10","yes",1,10,"-BUF 23","run","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"4:33","yes",2,15,"-BUF 18","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"3:51","no",1,10,"-BUF 33","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"3:05","no",1,10,"-TEN 28","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"2:23","yes",1,10,"-TEN 13","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"2:00","no",2,1,"-TEN 4","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"1:53","yes",3,6,"-TEN 9","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",1,"1:07","yes",4,1,"-TEN 4","pass","BUF"
"titans_at_bills_2022_reg_2","Tennessee Titans",1,"1:00","yes",1,10,"-TEN 25","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"15:00","no",1,10,"-TEN 25","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"14:53","yes",2,10,"-TEN 25","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"14:14","yes",1,10,"-TEN 42","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"13:41","no",2,6,"-TEN 46","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"12:58","yes",3,7,"-TEN 45","pass","TEN"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"12:26","yes",2,14,"-BUF 16","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"12:20","yes",3,14,"-BUF 16","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"12:14","yes",3,9,"-BUF 21","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"11:39","no",1,10,"-BUF 37","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"11:06","yes",2,1,"-BUF 46","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"10:32","no",1,10,"-TEN 46","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"10:26","yes",2,10,"-TEN 46","pass","BUF"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"10:14","yes",1,10,"-TEN 24","pass","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"10:07","no",2,10,"-TEN 24","run","TEN"
"titans_at_bills_2022_reg_2","Tennessee Titans",2,"9:32","yes",3,11,"-TEN 23","pass","TEN"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"9:14","yes",1,10,"-BUF 44","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"9:10","yes",2,10,"-BUF 44","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"8:37","yes",3,1,"-TEN 47","pass","BUF"
"titans_at_bills_2022_reg_2","Buffalo Bills",2,"8:22","yes",1,10,"-TEN 20","pass","BUF"
