"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"15:00","no",1,10,"-TEN 25","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"14:33","yes",1,22,"-TEN 13","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"13:54","yes",2,20,"-TEN 15","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"13:20","yes",3,13,"-TEN 22","run","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"12:36","yes",1,10,"-LAC 32","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"12:03","yes",2,6,"-LAC 36","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"11:34","no",1,10,"-LAC 44","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"10:55","no",1,10,"-TEN 38","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"10:17","yes",1,10,"-TEN 28","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"9:02","yes",3,16,"-TEN 34","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"8:21","yes",4,2,"-TEN 20","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"7:38","no",1,10,"-TEN 16","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"7:00","no",2,7,"-TEN 13","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"6:18","yes",3,1,"-TEN 7","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"5:41","yes",1,4,"-TEN 4","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"5:06","no",2,3,"-TEN 3","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",1,"4:27","no",3,1,"-TEN 1","run","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"4:25","no",1,10,"-TEN 25","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"3:44","yes",2,10,"-TEN 25","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"3:39","yes",2,10,"-TEN 25","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"2:57","yes",3,3,"-TEN 32","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"2:10","no",1,10,"-TEN 39","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,"1:26","yes",2,6,"-TEN 43","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",1,":41","no",1,10,"-LAC 49","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"14:26","yes",2,21,"-TEN 40","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"13:51","yes",3,15,"-TEN 46","pass","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"13:34","no",1,10,"-LAC 12","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"13:10","no",2,6,"-LAC 16","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"13:06","yes",3,6,"-LAC 16","pass","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"12:24","no",1,10,"-TEN 37","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"11:46","no",1,10,"-TEN 48","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"11:02","yes",1,10,"-LAC 15","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"10:55","no",2,10,"-LAC 15","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"10:16","yes",1,4,"-LAC 4","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"10:13","yes",2,4,"-LAC 4","run","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"10:09","no",1,10,"-LAC 25","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"9:33","yes",2,20,"-LAC 15","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"8:56","yes",3,8,"-LAC 27","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"8:07","no",4,1,"-LAC 34","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"7:30","yes",1,10,"-LAC 36","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"6:58","no",2,6,"-LAC 40","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"6:19","yes",3,3,"-LAC 43","pass","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"6:06","no",1,10,"-TEN 18","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"5:22","yes",2,8,"-TEN 20","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"4:50","no",1,10,"-TEN 28","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"4:03","no",1,10,"-TEN 44","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"3:35","yes",1,20,"-TEN 34","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"3:30","yes",2,20,"-TEN 34","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,"2:44","yes",3,11,"-TEN 43","pass","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"1:52","yes",1,10,"-LAC 20","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"1:24","yes",2,8,"-LAC 22","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,"1:06","yes",1,10,"-LAC 36","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",2,":42","yes",1,10,"-LAC 46","pass","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,":28","yes",2,1,"-TEN 30","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,":13","no",1,10,"-TEN 25","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,":12","yes",2,10,"-TEN 25","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",2,":07","no",1,10,"-TEN 20","run","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"15:00","yes",1,10,"-LAC 25","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"14:29","no",2,1,"-LAC 34","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"13:53","no",1,10,"-LAC 41","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"13:48","yes",1,10,"-LAC 46","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"13:45","yes",2,10,"-LAC 46","pass","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"12:24","no",1,10,"-TEN 21","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"11:42","yes",2,6,"-TEN 25","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"11:01","yes",3,2,"-TEN 29","pass","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"10:46","no",1,10,"-LAC 18","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"10:28","no",1,10,"-LAC 39","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"9:57","yes",2,3,"-LAC 46","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"9:19","no",1,10,"-TEN 46","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"8:53","yes",1,20,"-LAC 44","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"8:22","yes",2,8,"-TEN 44","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"8:19","yes",3,8,"-TEN 44","pass","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"8:08","no",1,10,"-TEN 13","run","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"7:23","no",1,10,"-TEN 48","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"7:18","yes",2,10,"-TEN 48","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"6:40","yes",3,3,"-TEN 41","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"6:04","yes",1,10,"-TEN 29","run","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"5:23","no",1,10,"-TEN 20","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"4:40","no",1,10,"-TEN 38","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"4:04","no",2,3,"-TEN 45","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"3:21","yes",3,2,"-TEN 46","pass","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"3:10","yes",1,10,"-LAC 12","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",3,"3:06","yes",2,10,"-LAC 12","run","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",3,"1:43","no",1,10,"-LAC 38","pass","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",4,"15:00","yes",2,16,"-LAC 31","run","TEN"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",4,"13:34","yes",1,10,"-LAC 41","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",4,"13:14","no",2,9,"-LAC 42","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",4,"11:55","no",1,10,"-TEN 46","pass","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",4,"11:18","no",1,10,"-TEN 15","run","LAC"
"titans_at_chargers_2022_reg_15","Los Angeles Chargers",4,"10:34","yes",1,3,"-TEN 3","run","LAC"
"titans_at_chargers_2022_reg_15","Tennessee Titans",4,"10:28","no",1,10,"-TEN 25","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",4,"9:47","no",2,7,"-TEN 28","run","TEN"
"titans_at_chargers_2022_reg_15","Tennessee Titans",4,"8:44","yes",3,23,"-TEN 12","run","TEN"
