"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"14:55","yes",1,10,"-KC 26","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"14:21","yes",2,8,"-KC 28","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"13:41","yes",1,10,"-KC 36","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"13:16","yes",2,4,"-KC 42","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"12:39","no",1,10,"-TEN 48","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"12:07","yes",2,8,"-TEN 46","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"11:33","yes",1,10,"-TEN 34","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"11:08","yes",1,20,"-TEN 44","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"10:44","yes",2,15,"-TEN 39","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"10:04","no",1,10,"-TEN 23","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"9:28","yes",2,10,"-TEN 23","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"8:48","yes",3,6,"-TEN 19","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"8:11","yes",1,8,"-TEN 8","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"8:02","no",2,8,"-TEN 8","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"7:36","yes",2,18,"-TEN 18","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"7:31","yes",3,18,"-TEN 18","pass","KC"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",1,"6:40","yes",1,10,"-TEN 18","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",1,"5:26","no",1,15,"-KC 39","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",1,"4:49","yes",2,15,"-KC 39","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",1,"4:44","yes",3,15,"-KC 39","pass","TEN"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"4:25","no",1,10,"-KC 21","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"3:49","yes",1,10,"-KC 44","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"3:14","yes",2,10,"-KC 44","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"2:38","yes",3,7,"-KC 47","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"2:12","yes",1,10,"-TEN 22","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"2:08","yes",2,10,"-TEN 22","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,"1:28","yes",1,10,"-TEN 12","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",1,":46","yes",2,1,"-TEN 3","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"15:00","yes",3,5,"-TEN 7","pass","KC"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"14:51","no",1,10,"-TEN 26","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"14:17","no",1,10,"-TEN 42","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"13:39","yes",2,6,"-TEN 46","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"12:57","no",1,10,"-KC 37","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"12:12","no",1,10,"-KC 13","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"11:33","yes",2,12,"-KC 15","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"10:55","yes",3,5,"-KC 8","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"10:51","yes",3,1,"-KC 4","run","TEN"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"10:48","no",1,10,"-KC 25","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"10:13","yes",2,1,"-KC 34","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"9:36","yes",1,10,"-KC 36","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"9:30","yes",2,10,"-KC 36","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"9:26","yes",3,10,"-KC 36","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"9:00","yes",3,20,"-KC 26","pass","KC"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"8:14","no",1,10,"-TEN 21","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"7:33","yes",1,10,"-KC 23","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"6:51","yes",2,7,"-KC 20","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"6:08","no",1,2,"-KC 2","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"5:28","no",2,1,"-KC 1","run","TEN"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"5:24","yes",1,10,"-KC 25","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"4:50","yes",2,9,"-KC 26","pass","KC"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"3:55","yes",1,10,"-TEN 39","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"3:15","yes",2,6,"-TEN 43","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"2:50","yes",2,14,"-TEN 35","run","TEN"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"1:52","yes",1,10,"-KC 2","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"1:17","yes",2,5,"-KC 7","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"1:01","yes",1,10,"-KC 16","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,":53","yes",2,1,"-KC 25","pass","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,":45","yes",1,10,"-KC 41","pass","KC"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,":19","no",1,10,"-TEN 9","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"14:54","yes",1,10,"-TEN 16","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"14:13","no",2,9,"-TEN 17","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"13:52","yes",2,14,"-TEN 12","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"13:11","yes",3,8,"-TEN 18","run","TEN"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"12:33","yes",1,10,"-KC 25","run","KC"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"11:54","yes",2,10,"-KC 25","pass","KC"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"11:27","no",1,10,"-KC 34","pass","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"11:22","yes",2,10,"-KC 34","run","TEN"
"titans_at_chiefs_2022_reg_9","Tennessee Titans",2,"10:37","yes",3,5,"-KC 29","run","TEN"
"titans_at_chiefs_2022_reg_9","Kansas City Chiefs",2,"9:54","yes",1,10,"-KC 16","pass","KC"
