"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"15:00","no",1,10,"-IND 25","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"14:27","no",2,9,"-IND 26","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"13:51","no",1,10,"-IND 36","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"13:45","no",2,10,"-IND 36","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"13:04","yes",3,12,"-IND 34","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"12:27","no",1,10,"-IND 48","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"11:04","no",1,10,"-TEN 45","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"11:00","yes",2,10,"-TEN 45","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"10:47","no",1,10,"-IND 32","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"10:09","yes",2,8,"-IND 30","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"9:25","yes",3,6,"-IND 28","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"8:43","no",1,10,"-IND 19","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"8:04","no",1,7,"-IND 7","pass","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"8:00","yes",1,10,"-IND 25","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"7:20","yes",2,8,"-IND 27","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"7:16","yes",3,8,"-IND 27","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"7:05","no",1,10,"-TEN 25","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"6:29","no",2,4,"-TEN 31","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"5:49","yes",3,3,"-TEN 32","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"5:13","no",1,10,"-TEN 36","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"4:32","no",1,10,"-IND 42","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",1,"3:53","no",1,10,"-IND 19","run","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"3:46","yes",1,10,"-IND 25","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"3:11","yes",1,10,"-IND 44","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"2:37","yes",2,9,"-IND 45","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"1:55","no",1,10,"-TEN 45","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,"1:19","yes",2,11,"-TEN 46","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",1,":38","yes",1,10,"-TEN 26","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"15:00","yes",2,8,"-TEN 24","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"14:12","yes",1,6,"-TEN 6","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"13:37","yes",2,4,"-TEN 4","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"13:33","yes",3,4,"-TEN 4","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"13:19","no",1,10,"-TEN 33","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"13:14","yes",2,10,"-TEN 33","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"12:54","no",1,10,"-IND 42","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"11:58","yes",2,8,"-IND 40","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"11:17","no",3,1,"-IND 33","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"10:35","no",1,10,"-IND 29","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"9:53","no",2,7,"-IND 26","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"9:49","yes",3,7,"-IND 26","pass","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"9:39","yes",1,10,"-IND 25","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"9:34","no",1,10,"-IND 28","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"9:11","no",1,10,"-IND 22","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"9:03","yes",1,2,"-IND 14","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"8:23","no",1,10,"-IND 11","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"7:46","yes",2,7,"-IND 8","pass","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"7:40","yes",1,10,"-IND 25","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"6:58","yes",2,9,"-IND 26","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"6:17","yes",3,2,"-IND 33","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"5:58","yes",1,10,"-TEN 49","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"5:17","yes",2,16,"-IND 45","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"4:39","yes",3,2,"-TEN 41","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"4:03","yes",1,10,"-TEN 38","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"3:19","yes",1,5,"-TEN 5","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"2:58","yes",1,15,"-TEN 15","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"2:20","no",2,14,"-TEN 14","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"2:08","yes",1,10,"-TEN 26","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"2:00","no",2,3,"-TEN 33","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"1:54","yes",3,2,"-TEN 34","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"1:28","no",1,10,"-TEN 44","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,":54","yes",1,10,"-IND 44","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,":46","yes",2,5,"-IND 39","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,":40","yes",1,10,"-IND 34","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,":29","yes",2,7,"-IND 31","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"14:55","no",1,10,"-TEN 24","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"13:10","yes",3,24,"-TEN 10","pass","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"12:35","yes",1,10,"-IND 33","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"11:55","yes",2,9,"-IND 34","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"11:18","yes",3,3,"-IND 40","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"10:11","no",1,5,"-TEN 30","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"9:35","no",1,10,"-TEN 19","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"8:52","yes",2,8,"-TEN 17","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"8:12","no",1,8,"-TEN 8","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"7:31","no",2,7,"-TEN 7","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"7:21","no",1,10,"-TEN 25","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"6:38","no",2,7,"-TEN 28","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"5:51","yes",3,7,"-TEN 28","pass","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"5:36","no",1,10,"-IND 21","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"5:17","yes",1,10,"-IND 41","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"5:14","yes",2,10,"-IND 41","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"4:33","yes",3,4,"-IND 47","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"3:56","yes",1,10,"-TEN 45","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"3:19","no",2,7,"-TEN 42","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"2:38","yes",3,9,"-TEN 44","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"2:02","yes",1,10,"-TEN 34","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,":31","yes",3,25,"-TEN 49","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"14:53","no",1,10,"-TEN 20","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"14:16","yes",2,13,"-TEN 17","pass","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"12:56","yes",1,10,"-IND 22","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"12:13","no",1,10,"-TEN 44","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"11:34","yes",2,10,"-TEN 44","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"10:54","yes",3,4,"-TEN 38","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"10:17","yes",1,10,"-TEN 33","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"9:36","yes",2,8,"-TEN 31","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"8:49","no",3,1,"-TEN 24","run","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"8:40","no",1,10,"-TEN 22","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"8:32","no",1,10,"-TEN 27","pass","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"7:49","no",2,2,"-TEN 35","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"7:03","no",1,10,"-TEN 42","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"6:24","no",2,6,"-TEN 46","run","TEN"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"4:46","yes",1,10,"-IND 34","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"4:41","yes",2,10,"-IND 34","pass","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"4:01","no",1,10,"-TEN 22","run","IND"
"titans_at_colts_2022_reg_4","Indianapolis Colts",2,"3:27","yes",2,10,"-TEN 22","pass","IND"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"1:58","no",1,10,"-TEN 41","run","TEN"
"titans_at_colts_2022_reg_4","Tennessee Titans",2,"1:53","no",2,8,"-TEN 43","run","TEN"
