"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"14:54","yes",1,15,"-PHI 20","run","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"14:20","yes",2,10,"-PHI 25","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"13:43","yes",3,8,"-PHI 27","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"13:19","yes",1,10,"-PHI 47","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"12:41","yes",2,5,"-TEN 48","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"12:15","yes",1,10,"-TEN 34","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"12:11","yes",2,10,"-TEN 34","pass","PHI"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"12:03","no",1,10,"-TEN 25","run","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"11:29","yes",2,8,"-TEN 27","run","TEN"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"9:52","yes",1,10,"-PHI 28","run","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"9:11","yes",2,8,"-PHI 30","run","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"8:30","yes",3,5,"-PHI 33","pass","PHI"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"8:15","no",1,10,"-TEN 29","run","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"7:41","yes",2,8,"-TEN 31","pass","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"7:01","yes",3,4,"-TEN 35","pass","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"6:57","yes",1,10,"-TEN 40","run","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"6:19","no",1,10,"-PHI 43","run","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"5:40","yes",2,9,"-PHI 42","pass","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"4:58","yes",3,7,"-PHI 40","pass","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"4:53","yes",4,7,"-PHI 40","run","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"4:11","no",1,10,"-PHI 32","pass","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"3:27","no",2,4,"-PHI 26","run","TEN"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"2:42","yes",1,10,"-PHI 15","run","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"1:49","yes",2,11,"-PHI 14","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",1,"1:14","yes",1,10,"-PHI 30","pass","PHI"
"titans_at_eagles_2022_reg_13","Tennessee Titans",1,"1:06","yes",1,10,"-PHI 44","pass","TEN"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",2,"14:54","yes",2,15,"-PHI 39","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",2,"14:03","yes",2,15,"-TEN 40","pass","PHI"
"titans_at_eagles_2022_reg_13","Tennessee Titans",2,"13:49","no",1,10,"-TEN 23","pass","TEN"
"titans_at_eagles_2022_reg_13","Tennessee Titans",2,"13:44","yes",2,10,"-TEN 23","pass","TEN"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",2,"11:45","yes",1,10,"-TEN 45","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",2,"11:13","yes",2,4,"-TEN 39","pass","PHI"
"titans_at_eagles_2022_reg_13","Philadelphia Eagles",2,"11:05","yes",3,4,"-TEN 39","run","PHI"
