"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"14:53","yes",1,10,"-TEN 17","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"14:49","no",2,10,"-TEN 17","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"14:05","yes",3,7,"-TEN 20","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"13:25","no",1,10,"-GB 37","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"12:45","no",2,1,"-GB 28","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"12:00","no",1,10,"-GB 25","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"11:21","yes",2,7,"-GB 22","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"10:36","yes",1,10,"-GB 14","pass","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"10:27","no",1,10,"-GB 12","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"9:51","yes",2,11,"-GB 11","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"9:14","yes",3,6,"-GB 16","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"9:02","no",1,10,"-TEN 39","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"7:40","yes",3,17,"-TEN 32","run","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"7:01","yes",1,10,"-GB 22","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"6:17","yes",2,1,"-GB 31","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"5:33","yes",1,10,"-GB 35","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"4:51","no",2,9,"-GB 36","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"4:02","no",1,10,"-TEN 40","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"3:23","yes",2,12,"-TEN 42","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"2:42","yes",3,2,"-TEN 32","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"1:47","yes",1,10,"-TEN 25","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,":59","yes",1,10,"-TEN 15","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,":20","no",2,8,"-TEN 13","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,":05","no",3,9,"-TEN 14","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"14:54","no",1,10,"-TEN 33","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"14:12","yes",2,8,"-TEN 35","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"13:53","no",1,10,"-TEN 41","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"13:09","yes",2,11,"-TEN 40","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"11:29","yes",1,10,"-GB 49","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"10:59","no",2,6,"-GB 45","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"10:18","no",3,1,"-GB 40","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"9:32","yes",1,10,"-GB 38","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"8:48","no",2,4,"-GB 32","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"8:17","no",3,1,"-GB 29","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"7:37","yes",1,10,"-GB 24","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"6:57","no",2,5,"-GB 19","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"6:25","no",3,2,"-GB 16","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"5:45","yes",1,10,"-GB 13","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"5:41","no",2,10,"-GB 13","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"5:34","yes",3,10,"-GB 13","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"4:59","no",4,1,"-GB 4","run","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"4:54","no",1,10,"-GB 6","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"4:18","yes",2,9,"-GB 7","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"3:35","yes",3,6,"-GB 10","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"3:21","yes",1,10,"-GB 41","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"3:15","no",1,5,"-GB 36","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"2:36","yes",2,4,"-GB 35","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"2:00","yes",1,10,"-GB 29","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:52","yes",2,9,"-GB 28","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:45","yes",3,7,"-GB 26","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:24","yes",1,10,"-GB 17","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:20","yes",2,3,"-GB 10","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:16","yes",3,3,"-GB 10","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,":36","no",1,4,"-GB 4","run","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,":28","yes",1,10,"-GB 22","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,":23","yes",2,8,"-GB 24","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,":01","yes",1,10,"-GB 35","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"14:54","yes",1,10,"-GB 28","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"14:16","yes",2,1,"-GB 37","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"13:35","yes",1,10,"-GB 43","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"12:54","no",1,10,"-TEN 43","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"12:09","yes",2,6,"-TEN 39","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"11:28","no",3,1,"-TEN 34","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"10:50","yes",1,10,"-TEN 31","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"10:43","yes",2,10,"-TEN 31","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"10:34","yes",3,10,"-TEN 31","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"9:55","no",1,10,"-TEN 20","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"9:25","no",2,7,"-TEN 17","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"8:34","yes",3,11,"-TEN 21","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"8:20","no",1,10,"-TEN 9","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"7:38","yes",2,7,"-TEN 12","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"7:26","no",1,10,"-TEN 43","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"6:48","no",2,4,"-TEN 49","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"6:04","yes",1,9,"-GB 9","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"5:21","yes",2,3,"-GB 3","pass","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"5:11","no",1,10,"-GB 31","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"4:36","yes",2,7,"-GB 34","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"3:55","no",1,10,"-TEN 38","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"3:15","yes",2,7,"-TEN 35","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"2:34","yes",3,3,"-TEN 31","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"2:12","no",1,8,"-TEN 8","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",1,"2:09","no",2,8,"-TEN 8","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:59","no",1,10,"-TEN 37","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,"1:34","no",2,7,"-TEN 40","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,":58","no",1,10,"-GB 28","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",1,":16","yes",2,7,"-GB 25","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"15:00","yes",1,10,"-GB 16","pass","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"14:49","yes",1,10,"-GB 23","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"14:42","yes",2,10,"-GB 23","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"14:01","yes",3,7,"-GB 26","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"13:45","no",1,10,"-TEN 37","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"13:03","no",2,8,"-TEN 39","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"12:14","yes",3,9,"-TEN 38","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"11:39","no",1,10,"-GB 43","run","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"10:44","yes",1,10,"-GB 34","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"10:18","yes",1,20,"-GB 24","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"10:12","yes",2,20,"-GB 24","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"9:29","yes",3,12,"-GB 32","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"8:31","no",2,4,"-TEN 19","run","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"6:59","yes",1,10,"-TEN 44","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"6:16","yes",2,7,"-TEN 41","run","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"5:32","yes",3,3,"-TEN 37","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"5:26","yes",4,3,"-TEN 37","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"5:21","no",1,10,"-TEN 38","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"5:15","no",2,9,"-TEN 39","run","TEN"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"4:54","yes",1,10,"-GB 19","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"4:34","yes",2,1,"-GB 28","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"4:30","yes",3,1,"-GB 28","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"4:25","yes",1,10,"-GB 36","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"4:19","yes",2,11,"-GB 35","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"4:14","yes",3,11,"-GB 35","pass","GB"
"titans_at_packers_2022_reg_11","Green Bay Packers",2,"3:53","yes",1,10,"-GB 47","pass","GB"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"2:12","yes",4,1,"-TEN 44","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"2:04","no",1,10,"-TEN 44","pass","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"1:55","no",1,5,"-GB 5","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,"1:14","no",2,6,"-GB 6","run","TEN"
"titans_at_packers_2022_reg_11","Tennessee Titans",2,":38","no",3,7,"-GB 7","run","TEN"
