"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"15:00","no",1,10,"-TEN 25","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"14:22","no",2,8,"-TEN 27","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"12:53","yes",2,18,"-HST 40","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"12:15","yes",3,15,"-HST 37","run","TEN"
"titans_at_texans_2022_reg_8","Houston Texans",1,"11:27","no",1,10,"-HST 38","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"10:46","no",2,10,"-HST 38","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"10:10","no",1,10,"-HST 49","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"9:30","yes",2,7,"-TEN 48","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"8:54","no",3,1,"-TEN 42","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"8:18","no",1,10,"-TEN 39","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"7:37","no",2,8,"-TEN 37","pass","HOU"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"6:46","no",1,10,"-TEN 31","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"6:11","no",2,8,"-TEN 33","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"5:29","yes",3,8,"-TEN 33","pass","TEN"
"titans_at_texans_2022_reg_8","Houston Texans",1,"4:27","no",1,10,"-HST 6","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"3:49","no",2,10,"-HST 6","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"3:06","yes",3,8,"-HST 8","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"2:49","no",1,10,"-TEN 42","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"2:24","yes",1,20,"-HST 48","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"2:21","no",2,20,"-HST 48","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",1,"1:38","yes",3,23,"-HST 45","pass","HOU"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,"1:22","no",1,10,"-TEN 7","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",1,":29","no",1,12,"-TEN 5","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"15:00","yes",2,10,"-TEN 7","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"14:18","yes",3,9,"-TEN 8","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"13:31","no",1,10,"-TEN 18","pass","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"12:47","no",2,1,"-TEN 27","run","TEN"
"titans_at_texans_2022_reg_8","Houston Texans",2,"11:51","no",1,10,"-TEN 11","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",2,"11:46","no",2,10,"-TEN 11","pass","HOU"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"10:35","no",1,10,"-TEN 18","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"9:52","yes",2,7,"-TEN 21","pass","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"9:10","no",1,10,"-TEN 37","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"7:47","yes",3,11,"-TEN 36","pass","TEN"
"titans_at_texans_2022_reg_8","Houston Texans",2,"6:57","no",1,10,"-HST 10","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",2,"6:15","no",2,11,"-HST 9","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",2,"5:28","yes",3,10,"-HST 10","pass","HOU"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"5:13","no",1,10,"-HST 37","pass","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"5:09","yes",2,10,"-HST 37","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"4:29","yes",3,2,"-HST 29","run","TEN"
"titans_at_texans_2022_reg_8","Houston Texans",2,"4:15","no",1,10,"-HST 18","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",2,"3:40","no",1,10,"-HST 34","run","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",2,"3:03","yes",2,7,"-HST 37","pass","HOU"
"titans_at_texans_2022_reg_8","Houston Texans",2,"2:25","no",3,1,"-HST 43","run","HOU"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"1:53","no",1,10,"-TEN 17","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"1:32","yes",2,2,"-TEN 25","run","TEN"
"titans_at_texans_2022_reg_8","Tennessee Titans",2,"1:14","yes",1,10,"-TEN 28","pass","TEN"
