"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"14:54","no",1,10,"-BUF 24","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"14:06","yes",2,14,"-BUF 20","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"13:23","yes",3,8,"-BUF 26","pass","BUF"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"13:07","no",1,10,"-MIN 26","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"13:03","no",2,10,"-MIN 26","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"12:21","yes",3,11,"-MIN 25","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"11:35","no",1,10,"-BUF 29","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"11:03","no",2,9,"-BUF 28","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"10:19","yes",3,3,"-BUF 22","pass","MIN"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"10:05","no",1,10,"-MIN 47","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"9:38","yes",1,10,"-MIN 25","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"8:56","no",1,4,"-MIN 4","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"8:14","yes",2,5,"-MIN 5","run","BUF"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"7:30","yes",2,15,"-MIN 20","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"7:06","yes",3,11,"-MIN 24","pass","MIN"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"6:13","no",1,10,"-BUF 30","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"5:29","yes",1,10,"-BUF 49","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"4:53","yes",2,11,"-BUF 48","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"4:21","yes",3,3,"-MIN 44","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"3:47","no",1,10,"-MIN 36","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"3:14","yes",1,10,"-MIN 20","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"2:38","yes",2,11,"-MIN 21","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"2:34","yes",3,11,"-MIN 21","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"1:47","yes",1,9,"-MIN 9","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",1,"1:08","yes",2,1,"-MIN 1","run","BUF"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,"1:04","yes",1,10,"-MIN 25","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",1,":18","no",1,10,"-MIN 27","pass","MIN"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"15:00","no",2,1,"-MIN 18","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"14:19","yes",3,1,"-MIN 18","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"13:42","yes",1,10,"-MIN 14","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"13:02","yes",3,11,"-MIN 15","pass","BUF"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"12:46","no",1,10,"-MIN 45","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"12:07","no",2,8,"-MIN 47","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"11:28","yes",3,7,"-MIN 48","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"10:48","yes",1,10,"-BUF 38","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"10:08","no",2,1,"-BUF 29","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"9:36","yes",1,10,"-BUF 22","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"9:31","yes",2,10,"-BUF 22","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"9:27","yes",3,10,"-BUF 22","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"8:47","no",1,2,"-BUF 2","run","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"8:05","yes",2,7,"-BUF 7","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"8:01","yes",2,17,"-BUF 17","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"7:20","yes",3,9,"-BUF 9","pass","MIN"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"7:07","yes",1,10,"-BUF 10","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"6:39","yes",2,8,"-BUF 12","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"6:14","yes",3,2,"-BUF 18","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"5:33","no",1,10,"-BUF 24","run","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"4:55","no",1,10,"-BUF 42","pass","BUF"
"vikings_at_bills_2022_reg_10","Buffalo Bills",2,"4:09","yes",1,10,"-MIN 43","run","BUF"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"3:15","no",1,10,"-BUF 37","pass","MIN"
"vikings_at_bills_2022_reg_10","Minnesota Vikings",2,"2:33","yes",2,5,"-BUF 32","pass","MIN"
