"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"14:56","no",1,10,"-MIN 22","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"14:22","yes",2,11,"-MIN 21","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"13:41","yes",3,5,"-MIN 27","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"12:58","no",1,10,"-MIN 46","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"11:30","yes",3,1,"-WAS 45","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"10:49","no",1,10,"-WAS 28","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"10:04","no",1,10,"-WAS 12","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"9:23","yes",2,7,"-WAS 9","pass","MIN"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"9:17","yes",1,10,"-WAS 25","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"8:45","yes",2,9,"-WAS 26","pass","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"8:15","yes",1,10,"-WAS 38","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"7:38","yes",2,6,"-WAS 42","pass","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"7:34","yes",3,6,"-WAS 42","pass","WAS"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"6:49","no",1,10,"-MIN 16","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"6:13","no",2,7,"-MIN 19","pass","MIN"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"4:48","yes",1,10,"-WAS 35","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"3:27","yes",2,16,"-WAS 45","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",1,"2:44","yes",3,9,"-MIN 48","run","WAS"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"1:57","yes",1,10,"-MIN 20","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,"1:21","yes",2,10,"-MIN 20","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",1,":41","no",3,1,"-MIN 29","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"15:00","no",1,10,"-MIN 31","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"14:21","no",2,8,"-MIN 33","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"13:35","yes",3,7,"-MIN 34","pass","MIN"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"13:20","no",1,10,"-WAS 21","pass","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"12:42","no",1,10,"-WAS 39","pass","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"12:38","yes",2,10,"-WAS 39","run","WAS"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"11:06","yes",1,10,"-MIN 11","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"10:23","no",2,6,"-MIN 15","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"9:51","no",1,10,"-MIN 21","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"9:10","no",1,10,"-MIN 44","run","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"8:34","yes",2,7,"-MIN 47","pass","MIN"
"vikings_at_commanders_2022_reg_9","Minnesota Vikings",2,"8:30","yes",3,7,"-MIN 47","pass","MIN"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"8:20","yes",1,10,"-WAS 11","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"7:42","yes",2,5,"-WAS 16","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"6:54","yes",1,10,"-WAS 21","pass","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"6:11","yes",2,14,"-WAS 17","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"5:48","no",1,10,"-WAS 34","run","WAS"
"vikings_at_commanders_2022_reg_9","Washington Commanders",2,"5:14","yes",2,6,"-WAS 38","run","WAS"
