"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,"15:00","no",1,10,"-MIN 25","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,"14:25","no",2,2,"-MIN 33","run","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,"13:45","yes",3,2,"-MIN 33","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"13:30","yes",1,10,"-MIA 25","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"12:57","no",2,2,"-MIA 33","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"12:21","no",1,10,"-MIA 35","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"11:45","no",2,6,"-MIA 39","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"11:04","yes",3,7,"-MIA 38","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"10:20","yes",1,10,"-MIA 47","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"10:14","yes",2,10,"-MIA 47","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"9:30","no",1,10,"-MIN 35","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"8:51","yes",2,9,"-MIN 34","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,"7:59","no",1,10,"-MIN 6","run","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,"7:15","no",2,9,"-MIN 7","run","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,"6:38","yes",3,9,"-MIN 7","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"6:20","yes",1,10,"-MIA 18","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"5:44","no",1,10,"-MIA 48","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"5:06","yes",1,10,"-MIN 36","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"4:26","yes",2,1,"-MIN 27","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"3:24","yes",1,15,"-MIN 29","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"2:57","yes",1,20,"-MIN 34","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"2:23","yes",1,30,"-MIN 44","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"1:37","yes",2,12,"-MIN 26","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"1:08","yes",2,22,"-MIN 36","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,"1:04","yes",3,22,"-MIN 36","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",1,":34","yes",3,28,"-MIN 42","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,":23","no",1,10,"-MIN 20","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",1,":16","no",2,10,"-MIN 20","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",2,"15:00","yes",3,7,"-MIN 23","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"14:47","no",1,10,"-MIA 28","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"14:08","yes",2,8,"-MIA 30","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"14:02","yes",3,8,"-MIA 30","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",2,"13:48","no",1,10,"-MIN 16","run","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",2,"12:31","yes",3,11,"-MIN 15","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"11:38","no",1,10,"-MIA 38","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"10:52","yes",2,11,"-MIA 37","pass","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"10:11","yes",1,10,"-MIN 46","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"9:32","yes",2,3,"-MIN 39","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"8:46","no",3,1,"-MIN 37","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"8:09","no",1,10,"-MIN 35","run","MIA"
"vikings_at_dolphins_2022_reg_6","Miami Dolphins",2,"7:32","no",2,3,"-MIN 28","run","MIA"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",2,"6:05","no",1,10,"-MIN 25","pass","MIN"
"vikings_at_dolphins_2022_reg_6","Minnesota Vikings",2,"5:43","no",1,10,"-MIN 39","pass","MIN"
