"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"14:57","yes",1,10,"-PHI 18","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"14:32","yes",2,5,"-PHI 23","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"13:59","yes",1,10,"-PHI 41","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"13:32","yes",1,10,"-MIN 47","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"12:20","yes",3,8,"-MIN 45","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"11:18","yes",1,10,"-MIN 31","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"10:39","no",2,6,"-MIN 27","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"10:12","yes",3,3,"-MIN 24","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"9:44","yes",1,10,"-MIN 16","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"9:14","yes",1,3,"-MIN 3","run","PHI"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",1,"9:09","no",1,10,"-MIN 25","run","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",1,"8:32","yes",2,11,"-MIN 24","pass","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",1,"7:49","yes",3,5,"-MIN 30","pass","MIN"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"7:34","yes",1,10,"-PHI 23","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"7:05","yes",1,15,"-PHI 18","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"6:29","yes",2,18,"-PHI 15","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"5:45","yes",3,2,"-PHI 31","pass","PHI"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",1,"4:37","no",1,10,"-MIN 39","run","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",1,"4:00","no",2,7,"-MIN 42","pass","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",1,"3:30","yes",3,5,"-MIN 44","pass","MIN"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"3:19","no",1,10,"-PHI 18","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"2:43","yes",2,7,"-PHI 21","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"1:57","yes",3,5,"-PHI 23","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"1:28","yes",1,10,"-PHI 31","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,"1:05","yes",1,15,"-PHI 26","pass","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,":39","no",2,4,"-PHI 37","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",1,":14","yes",1,10,"-PHI 45","run","PHI"
"vikings_at_eagles_2022_reg_2","Philadelphia Eagles",2,"15:00","yes",2,8,"-PHI 47","pass","PHI"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",2,"14:52","no",1,10,"-MIN 25","pass","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",2,"14:13","no",2,8,"-MIN 27","run","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",2,"13:30","no",3,1,"-MIN 34","run","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",2,"12:53","yes",1,10,"-PHI 49","pass","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",2,"12:29","yes",1,10,"-PHI 38","pass","MIN"
"vikings_at_eagles_2022_reg_2","Minnesota Vikings",2,"11:51","yes",2,11,"-PHI 39","run","MIN"
