"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"14:56","no",1,10,"-DET 21","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"14:23","no",2,9,"-DET 22","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"14:19","yes",3,9,"-DET 22","pass","DET"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"13:59","no",1,10,"-MIN 21","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"13:22","no",2,7,"-MIN 24","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"12:56","yes",1,10,"-MIN 37","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"12:19","no",2,4,"-MIN 43","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"11:36","yes",3,6,"-MIN 41","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"11:25","yes",4,1,"-MIN 46","run","MIN"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"11:18","no",1,10,"-MIN 46","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"10:34","no",2,5,"-MIN 41","pass","DET"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"10:27","no",1,10,"-MIN 25","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"9:39","no",1,10,"-MIN 38","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"9:00","no",2,6,"-MIN 42","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"7:47","no",1,10,"-MIN 46","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"7:12","no",2,5,"-DET 49","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"6:37","no",1,10,"-DET 36","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"6:02","no",1,10,"-DET 22","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"5:19","no",2,1,"-DET 13","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"4:36","yes",1,10,"-DET 11","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"4:12","no",1,3,"-DET 3","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"4:06","no",1,1,"-DET 1","run","MIN"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"4:02","yes",1,10,"-DET 25","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"3:45","yes",2,4,"-DET 31","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"3:24","yes",2,14,"-DET 21","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"2:44","yes",3,13,"-DET 22","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",1,"2:26","no",1,10,"-DET 45","run","DET"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"1:52","yes",3,9,"-DET 46","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"1:05","yes",1,10,"-MIN 45","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,"1:00","yes",2,10,"-MIN 45","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",1,":21","yes",3,6,"-MIN 41","run","MIN"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"15:00","yes",4,4,"-MIN 39","pass","DET"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",2,"14:56","no",1,10,"-MIN 39","run","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",2,"14:14","yes",2,7,"-MIN 42","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",2,"13:35","no",1,10,"-DET 49","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",2,"13:27","yes",2,15,"-MIN 46","pass","MIN"
"vikings_at_lions_2022_reg_14","Minnesota Vikings",2,"13:02","yes",3,9,"-DET 48","pass","MIN"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"12:50","no",1,10,"-DET 13","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"12:13","yes",2,3,"-DET 20","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"11:38","no",1,10,"-DET 27","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"11:03","yes",1,10,"-DET 42","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"10:42","yes",2,4,"-DET 48","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"10:04","no",3,1,"-MIN 49","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"9:30","yes",1,10,"-MIN 43","pass","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"9:24","no",2,10,"-MIN 43","run","DET"
"vikings_at_lions_2022_reg_14","Detroit Lions",2,"8:47","yes",3,12,"-MIN 45","pass","DET"
