"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"14:55","no",1,10,"-MIN 33","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"14:20","no",2,6,"-MIN 37","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"13:42","yes",3,4,"-MIN 39","pass","MIN"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"13:26","no",1,10,"-GB 21","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"12:47","yes",2,4,"-GB 27","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"12:07","yes",3,3,"-GB 28","pass","GB"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"11:50","no",1,1,"-GB 1","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"11:45","no",2,1,"-GB 1","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"11:23","no",3,1,"-GB 1","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"10:25","no",1,10,"-MIN 25","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"9:40","yes",3,3,"-MIN 32","pass","MIN"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"9:25","no",1,10,"-GB 38","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"8:43","yes",1,10,"-MIN 48","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"8:05","no",2,1,"-MIN 39","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"7:22","no",3,1,"-MIN 39","run","GB"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"6:32","no",1,10,"-GB 45","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"6:25","yes",2,10,"-GB 45","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"6:19","yes",3,10,"-GB 45","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"5:09","no",1,10,"-MIN 38","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"4:25","yes",2,11,"-MIN 37","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"4:21","yes",3,11,"-MIN 37","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"3:40","no",1,10,"-GB 28","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"2:27","yes",2,6,"-GB 24","pass","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",1,"2:24","yes",3,11,"-GB 29","pass","MIN"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"1:37","yes",1,10,"-GB 36","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"1:32","yes",2,10,"-GB 36","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,"1:27","yes",3,10,"-GB 36","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",1,":05","no",2,6,"-MIN 46","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"15:00","yes",3,6,"-MIN 46","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"14:17","yes",1,10,"-MIN 37","pass","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"13:33","yes",2,6,"-MIN 33","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"12:52","no",1,10,"-MIN 24","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"12:08","no",2,3,"-MIN 17","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"11:21","yes",1,6,"-MIN 6","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"10:37","yes",2,4,"-MIN 4","run","GB"
"vikings_at_packers_2022_reg_17","Green Bay Packers",2,"9:54","yes",3,3,"-MIN 3","pass","GB"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",2,"9:43","no",1,10,"-MIN 29","run","MIN"
"vikings_at_packers_2022_reg_17","Minnesota Vikings",2,"9:08","no",2,1,"-MIN 38","run","MIN"
