"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"15:00","no",1,10,"-MIN 25","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"14:28","no",1,10,"-MIN 35","run","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"13:51","yes",2,7,"-MIN 38","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"13:47","yes",3,7,"-MIN 38","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"13:09","no",1,10,"-MIN 48","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"12:34","no",1,10,"-NO 42","run","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"11:56","yes",2,8,"-NO 40","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"11:17","no",3,1,"-NO 33","run","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"10:57","no",1,10,"-NO 27","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"10:53","no",1,10,"-NO 22","run","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"10:32","no",2,8,"-NO 20","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"9:49","yes",3,2,"-NO 14","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"9:08","yes",1,5,"-NO 5","run","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"8:28","no",2,5,"-NO 5","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"8:24","yes",3,5,"-NO 5","pass","MIN"
"vikings_at_saints_2022_reg_4","Minnesota Vikings",1,"8:19","yes",3,15,"-NO 15","pass","MIN"
"vikings_at_saints_2022_reg_4","New Orleans Saints",1,"8:12","yes",1,10,"-NO 25","pass","NO"
"vikings_at_saints_2022_reg_4","New Orleans Saints",1,"7:45","no",2,8,"-NO 27","run","NO"
